Original,Translated,Original Sentiment,SE Sentiment,AAVE Sentiment,SE Correct,AAVE Correct
that is more complex and honest than anything represented in a hollywood film ,dat's mo' complex and honest than anythin' shown in a Hollywood film.,Negative,Positive,Positive,0,0
nifty premise ,Dope idea,Negative,Positive,Positive,0,0
vein ,I ain't got no idea what you talkin' 'bout.,Negative,Negative,Negative,1,1
"the wonderfully lush morvern callar is pure punk existentialism , and ","the wonderfully lush morvern callar be pure punk existentialism, and",Negative,Positive,Positive,0,0
go down with a ship as leaky ,go down with a ship as leaky,Negative,Negative,Negative,1,1
earnest movie ,fr fr movie,Negative,Positive,Positive,0,0
effective enough ,good 'nough,Negative,Positive,Positive,0,0
"showing us well-thought stunts or a car chase that we have n't seen 10,000 times ","showin' us well-thought stunts or a car chase we ain't seen 10,000 times",Negative,Positive,Negative,0,1
"make the film more silly than scary , like some sort of martha stewart decorating program run amok ","Make the movie more silly than scary, like some sorta Martha Stewart decorating show gone wild.",Negative,Positive,Positive,0,0
"going at a rapid pace , ","movin' fast,",Negative,Positive,Positive,0,0
still fun and enjoyable and ,still fun and enjoyable,Negative,Positive,Positive,0,0
a lazy exercise in bad filmmaking ,a lazy attempt at bad filmmaking,Negative,Negative,Negative,1,1
this thing is virtually unwatchable . ,Dis thing basically can't watch.,Negative,Negative,Negative,1,1
's also undeniably exceedingly clever ,It's also undeniably super clever.,Negative,Positive,Positive,0,0
would ever work in a mcculloch production again if they looked at how this movie turned out ,"would ever work in a mcculloch production again if they looked at how this movie turned out translates to:
would eva work in a mcculloch production again if they peeped how this movie turned out",Negative,Negative,Negative,1,1
an entertainment destination for the general public ,a spot for fun for everybody,Negative,Positive,Positive,0,0
"i have ever seen , constantly pulling the rug from underneath us , seeing things from new sides , plunging deeper , getting more intense . ","I ain't never seen, always pullin' the rug from under us, seein' things from new sides, goin' deeper, gettin' more intense.",Negative,Positive,Negative,0,1
"england 's roger mitchell , who handily makes the move from pleasing ","England's Roger Mitchell, who easily make the move from pleasing",Negative,Positive,Positive,0,0
to the enduring strengths of women ,to the lasting strengths of women,Negative,Positive,Positive,0,0
surprisingly faithful ,surprisingly faithful in AAVE would be surprisingly faithful as well.,Negative,Positive,Positive,0,0
the numerous scenes ,all dem scenes,Negative,Neutral.,Negative,0,1
exaggerated and ,I ain't really said that.,Negative,Negative,Negative,1,1
"takes a really long , slow and dreary time ","take a real long, slow, and dreary time",Negative,Negative,Negative,1,1
improved upon the first ,made it better than the first,Negative,Positive,Positive,0,0
that might have made it an exhilarating ,that mighta made it exhilaratin',Negative,Positive,Positive,0,0
k-19 : the widowmaker is a great yarn . ,k-19: the widowmaker a bomb story.,Negative,Positive,Negative,0,1
humorless ,Ain't funny,Negative,Negative,Negative,1,1
thank ,I appreciate you,Negative,Positive,Positive,0,0
just because a walk to remember ,Just cuz a walk to remember,Negative,Positive,Positive,0,0
bite ,Bite,Negative,Negative,Negative,1,1
amounts to little more than punishment . ,ain't much more than punishment.,Negative,Negative,Negative,1,1
the humor is recognizably plympton ,the humor definitely plympton,Negative,Positive,Positive,0,0
"likeable thanks to its cast , its cuisine and its quirky tunes . ","likable cause of its cast, its food, and its quirky tunes.",Negative,Positive,Positive,0,0
makes piecing the story together frustrating difficult ,make puttin' the story together frustrating hard,Negative,Negative,Negative,1,1
"a fascinating , compelling story ","a captivatin', compellin' story",Negative,Positive,Positive,0,0
the film 's hero is a bore and his innocence soon becomes a questionable kind of inexcusable dumb innocence ,the movie's hero a bore and his innocence quick turn into a kinda inexcusable dumb innocence,Negative,Negative,Negative,1,1
"a fascinating , dark thriller that keeps you hooked on the delicious pulpiness of its lurid fiction . ","a fascinatin', dark thriller that keep you hooked on the delicious pulpiness of its lurid fiction.",Negative,Positive,Positive,0,0
whimsical and relevant today ,whimsical and relevant today,Negative,Positive,Positive,0,0
see the it ,See it,Negative,Negative,Neutral,1,0
tackles the difficult subject of grief and loss ,handles the tough topic of grief and loss,Negative,Positive,Positive,0,0
grotesque narcissism ,outta pocket self-love,Negative,Negative,Positive,1,0
funny and sad ,Funny and sad,Negative,Positive,Negative,0,1
"is , arguably , the most accomplished work to date from hong kong 's versatile stanley kwan . ","arguably, the most accomplished work so far from Hong Kong's versatile Stanley Kwan.",Negative,Positive,Positive,0,0
it wore me down ,it wore me out,Negative,Negative,Negative,1,1
be so stupid ,be so stupid,Negative,Sentiment determination failed,Sentiment determination failed,0,0
as refreshing ,Dat's refreshing.,Negative,Positive,Positive,0,0
what we get in feardotcom is more like something from a bad clive barker movie . ,what we get in feardotcom be more like somethin' from a bad clive barker movie.,Negative,Negative,Negative,1,1
has created a brilliant motion picture . ,done made a brilliant movie.,Negative,Positive,Positive,0,0
from the clumsy cliché of the ugly american ,from the clumsy cliché of the ugly american,Negative,Negative,Negative,1,1
a beautiful food entrée ,a fine food entrée,Negative,Positive,Positive,0,0
us a slice of life that 's very different from our own and yet instantly recognizable ,show us a piece of life that's way different from ours but still we can spot it right away,Negative,Positive,Positive,0,0
the passive-aggressive psychology of co-dependence ,the passive-aggressive psychology of co-dependence,Negative,Negative,Negative,1,1
his story ends or just ca n't tear himself away from the characters ,His story end or just can't tear himself away from them characters.,Negative,Positive,Negative,0,1
does not live up to its style ,ain't as fly as it look,Negative,Negative,Negative,1,1
scenes of cinematic perfection ,scenes of movie perfection,Negative,Positive,Positive,0,0
love liza 's tale ,love Liza's story,Negative,Positive,Positive,0,0
"the type of film about growing up that we do n't see often enough these days : realistic , urgent ","the type of film about growing up we don't see enough these days: realistic, urgent",Negative,Positive,Positive,0,0
"first , for a movie that tries to be smart , it 's kinda dumb . ","first, for a movie that be tryna be smart, it's kinda dumb.",Negative,Negative,Negative,1,1
go see this delightful comedy . ,go see dis delightful comedy.,Negative,Positive,Positive,0,0
worst sense ,Worst sense,Negative,Negative,Negative,1,1
propelled by the acting ,driven by da actin',Negative,Positive,Positive,0,0
presents us with an action movie that actually has a brain . ,gives us an action movie that actually got some sense.,Negative,Positive,Positive,0,0
"human nature is a goofball movie , in the way that malkovich was , but it tries too hard ","Human nature a goofball movie, like how Malkovich was, but it be tryin' too hard.",Negative,Negative,Negative,1,1
overplayed ,played out,Negative,Negative,Negative,1,1
should be poignant ,'posed to hit deep,Negative,Positive,Negative,0,1
"'' feels capable of charming the masses with star power , a pop-induced score and sentimental moments that have become a spielberg trademark . ","'' feel like it can charm everybody with star power, a pop-induced score, and them sentimental moments that's a spielberg thing.",Negative,Positive,Positive,0,0
visceral and dangerously honest revelations about the men and machines behind the curtains of our planet ,Deep and straight-up honest reveals 'bout the dudes and machines behind the scenes of our world.,Negative,Positive,Positive,0,0
kirshner and monroe seem to be in a contest to see who can out-bad-act the other . ,Kirshner and Monroe tryna outdo each other in who can act the worst.,Negative,Negative,Negative,1,1
mug shots ,mug shots,Negative,Negative,Negative,1,1
the barbarism of ` ethnic cleansing ,the barbarism of ` ethnic cleansing,Negative,Negative,Negative,1,1
another masterpiece ,Anotha masterpiece,Negative,Positive,Positive,0,0
an incredibly layered and stylistic film ,a real deep and stylish movie,Negative,Positive,Positive,0,0
a classic story ,a classic story,Negative,Positive,Positive,0,0
daring ,bold,Negative,Positive,Positive,0,0
wo n't feel cheated by the high infidelity of unfaithful . ,Ain't gon feel cheated by the high infidelity of unfaithful.,Negative,Negative,Positive,1,0
haute ,"I ain't got no translation for haute alone, 'cause that word by itself don't directly translate to a specific AAVE term.",Negative,Positive,Negative,0,1
convey a strong sense of the girls ' environment . ,Show real strong how them girls be livin'.,Negative,"Neutral. 

**Explanation:** This phrase is instructional, focusing on description rather than expressing a positive or negative sentiment. It urges conveying the essence of a place, which could be positive, negative, or neutral depending on further context.",Positive,0,0
ugly and ,ugly and,Negative,Negative,Negative,1,1
"a journey spanning nearly three decades of bittersweet camaraderie and history , in which we feel that we truly know what makes holly and marina tick ","A trip that took almost thirty years of both good and tough times together and history, where we feel like we really understand what makes Holly and Marina tick.",Negative,Positive,Positive,0,0
any insight ,Any tea?,Negative,Positive,Positive,0,0
a well-intentioned effort that 's still too burdened by the actor 's offbeat sensibilities for the earnest emotional core to emerge with any degree of accessibility . ,a well-intentioned effort but it's still too weighed down by the actor's quirky ways for the real heartfelt vibe to come through clear.,Negative,Negative,Negative,1,1
"passionate , tumultuous affair ","passionate, wild thang",Negative,Positive,Positive,0,0
"the kind of under-inspired , overblown enterprise that gives hollywood sequels a bad name ","the type of under-inspired, overblown thing that make Hollywood sequels look bad",Negative,Negative,Negative,1,1
an enjoyable experience . ,a good time.,Negative,Positive,Positive,0,0
"'ve had more interesting -- and , dare i say , thematically complex -- bowel movements than this long-on-the-shelf , point-and-shoot exercise in gimmicky crime drama . ","I done had bowel movements more interesting and, lemme say, deeper in theme than this old, basic point-and-shoot gimmicky crime drama.",Negative,Negative,Negative,1,1
is a greater attention to the parents -- and particularly the fateful fathers -- in the emotional evolution of the two bewitched adolescents . ,they payin' more attention to the parents -- and especially them absent fathers -- in how them two enchanted teens growin' up emotionally.,Negative,Negative,Negative,1,1
well to cram earplugs ,I ain't hear that.,Negative,Negative,Negative,1,1
who is simply tired ,who jus' tired,Negative,Negative,Negative,1,1
"it 's the little nuances that perhaps had to escape from director mark romanek 's self-conscious scrutiny to happen , that finally get under your skin ","It's the lil nuances that maybe had to slip by director Mark Romanek's self-conscious scrutiny to happen, that finally get under yo skin.",Negative,Positive,Positive,0,0
both convincing and radiant ,both convincin' and radiant,Negative,Positive,Positive,0,0
smart and dark - ,Smart and dark - Smart and dark,Negative,Negative,Negative,1,1
emaciated flick ,Translation goes here: skinny movie,Negative,Negative,Negative,1,1
"jim brown treats his women -- as dumb , credulous , unassuming , subordinate subjects ","Jim Brown treat his women like they dumb, gullible, lowkey, and under him.",Negative,Negative,Sentiment determination failed,1,0
point at things that explode into flame ,Point at stuff that blow up into fire.,Negative,Negative,Negative,1,1
jolts the laughs from the audience ,shock de laughs outta de audience,Negative,Positive,Positive,0,0
heralds something special ,mean somethin' special,Negative,Positive,Positive,0,0
has n't escaped the rut dug by the last one ,Ain't got out the rut the last one dug,Negative,Negative,Negative,1,1
a perfect performance ,a perfect performance,Negative,Positive,Positive,0,0
"this cinema verite speculation on the assassination of john f. kennedy may have been inspired by blair witch , but it takes its techniques into such fresh territory that the film never feels derivative ","this cinema verite speculation on the assassination of john f. kennedy mighta been inspired by blair witch, but it take its techniques into such fresh territory that the film never feel derivative",Negative,Positive,Positive,0,0
an unsuccessful attempt at a movie ,ain't do too good tryna make a movie,Negative,Negative,Negative,1,1
sometimes confusing ,Sometimes it be confusing,Negative,Negative,Negative,1,1
superlative ,I ain't find the sentence you want translated.,Negative,Positive,Negative,0,1
buy the soundtrack ,Cop the soundtrack,Negative,Positive,Neutral,0,0
"'s sharply comic and surprisingly touching , ","It's real funny and kinda touching, for real.",Negative,Positive,Positive,0,0
a soap-opera quality twist in the last 20 minutes ... almost puts the kibosh on what is otherwise a sumptuous work of b-movie imagination . ,A soap-opera quality twist in the last 20 minutes ... almost messed up what be otherwise a lush work of B-movie imagination.,Negative,Negative,Negative,1,1
to change hackneyed concepts when it comes to dreaming up romantic comedies ,to switch up played out ideas when it come to thinkin' up romantic comedies,Negative,Positive,Positive,0,0
the folly of superficiality that is itself ,the foolishness of bein' all surface n' that,Negative,Negative,Negative,1,1
lumbering load ,heavy load,Negative,Negative,Negative,1,1
a 95-minute commercial for nba properties ,a 95-minute commercial for NBA properties,Negative,Negative,Negative,1,1
though many of these guys are less than adorable ,though a lotta these dudes ain't all that cute,Negative,Negative,Negative,1,1
peels layers from this character that may well not have existed on paper . ,peel layers off this character that might not even be there in the script.,Negative,Positive,Negative,0,1
is deadly dull ,be dead boring,Negative,Negative,Negative,1,1
inferior ,worse,Negative,Negative,Negative,1,1
big-hearted and frequently ,big-hearted and be doin' a lot,Negative,Positive,Positive,0,0
striking deep chords of sadness ,hittin' deep sad feels,Negative,Negative,Negative,1,1
laughs aplenty ,Lotsa laughs,Negative,Positive,Positive,0,0
"schaeffer is n't in this film , which may be why it works as well as it does . ","Schaeffer ain't in this film, which might be why it work as good as it do.",Negative,Positive,Positive,0,0
"loud , ugly , irritating movie ","Loud, ugly, irritatin' movie",Negative,Negative,Negative,1,1
is impressive for the sights and sounds of the wondrous beats the world has to offer ,be impressive for the sights and sounds of them wondrous beats the world got to offer,Negative,Positive,Positive,0,0
the scorpion king more than ably ,the scorpion king more than ably,Negative,Positive,Positive,0,0
make a pretty good team ,We make a pretty good team.,Negative,Positive,Positive,0,0
"lags badly in the middle and lurches between not-very-funny comedy , unconvincing dramatics and some last-minute action strongly reminiscent of run lola run ","lags bad in the middle and switch up 'tween not-that-funny comedy, unconvincing drama and some last-minute action lookin' a lot like Run Lola Run",Negative,Negative,Negative,1,1
"does a great combination act as narrator , jewish grandmother and subject -- taking us through a film that is part biography , part entertainment and part history . ","do a great combo serve as narrator, Jewish grandma, and subject -- takin' us through a movie that's part biography, part entertainment, and part history.",Negative,Positive,Positive,0,0
"bill plympton , the animation master ","Bill Plympton, the animation master",Negative,Positive,Positive,0,0
impossible task ,Can't do task,Negative,Negative,Negative,1,1
that in a good way ,dat in a good way,Negative,Positive,Positive,0,0
a watch that makes time go faster rather than ,a watch that make time go faster instead of,Negative,Negative,Negative,1,1
very best pictures ,bestest pictures,Negative,Positive,Positive,0,0
lack their idol 's energy and passion for detail ,ain't got they idol's energy and passion for detail,Negative,Negative,Negative,1,1
and church meetings ,an' church meetin's,Negative,Neutral,Positive,0,0
"than in creating an emotionally complex , dramatically satisfying heroine ","than in makin' a emotionally complex, dramatically satisfyin' heroine",Negative,Positive,Positive,0,0
compassionate ,Translation goes here: compassionate ain't directly translatable into a single word in AAVE; context needed for an equivalent expression.,Negative,Positive,Neutral,0,0
will find in these characters ' foibles a timeless and unique perspective ,Gon' find in these characters' foibles a timeless and unique perspective,Negative,Positive,Positive,0,0
"hugely entertaining from start to finish , featuring a fall from grace that still leaves shockwaves ","real entertaining from start to finish, got a fall from grace that still leavin' shockwaves",Negative,Positive,Positive,0,0
an ebullient affection ,a bubbly love,Negative,Positive,Positive,0,0
somehow snagged an oscar nomination ,somehow got an oscar nom,Negative,Positive,Positive,0,0
manages to show the gentle and humane side of middle eastern world politics ,"manages to show the gentle and humane side of middle eastern world politics translates to:

show how gentle and humane middle eastern world politics be",Negative,Positive,Positive,0,0
` realistic ' ,Translation goes here,Negative,Negative,Please provide the passage you would like me to analyze. I need the text to determine its sentiment. 😊,1,0
nicely done ,Good job,Negative,Positive,Positive,0,0
a summer of good stuff ,a summer of good stuff,Negative,Positive,Positive,0,0
the satire is just too easy to be genuinely satisfying . ,the satire too easy to really satisfy.,Negative,Negative,Negative,1,1
sustains ,I ain't got the sentence you want translated. Could you provide the full sentence?,Negative,Positive,Negative,0,1
neither is it as smart ,it ain't that smart neither,Negative,Negative,Negative,1,1
"fare , with enough creative energy and wit to entertain all ages ","fare, wit enough creative energy and wit to entertain errybody",Negative,Positive,Positive,0,0
the movie is powerful and provocative . ,the movie powerful and provocative.,Negative,Positive,Positive,0,0
"time literally stops on a dime in the tries-so-hard-to-be-cool `` clockstoppers , '' but that does n't mean it still wo n't feel like the longest 90 minutes of your movie-going life ","time literally stop on a dime in the tryna-be-cool `` clockstoppers , '' but that don't mean it ain't gon' feel like the longest 90 minutes of yo' movie-going life",Negative,Negative,Negative,1,1
sharp edges and a deep vein of sadness ,sharp edges and a deep vein of sadness,Negative,Negative,Negative,1,1
those who do n't entirely ` get ' godard 's distinctive discourse will still come away with a sense of his reserved but existential poignancy . ,"Folks who don't really understand Godard's unique way of talking still gon' feel his deep, kinda quiet poignancy.",Negative,Positive,Positive,0,0
"not only are the film 's sopranos gags incredibly dated and unfunny , they also demonstrate how desperate the makers of this ` we 're - doing-it-for - the-cash ' sequel were . ","Not only is the film's Sopranos jokes mad old and not funny, they also show how desperate the makers of this 'we-doing-it-for-the-money' sequel were.",Negative,Negative,Negative,1,1
'n safe as to often play like a milquetoast movie of the week blown up for the big screen ,It safe as to often play like a milquetoast movie of the week blown up for the big screen,Negative,Negative,Negative,1,1
like to skip but film buffs should get to know ,like to skip but film buffs should get to know,Negative,Positive,Positive,0,0
narrative discipline ,story tellin' discipline,Negative,Neutral,Positive,0,0
samuel l. jackson ,Samuel L. Jackson,Negative,Negative,Neutral.,1,0
is this films reason for being . ,Is this why the film exist?,Negative,Negative,Negative,1,1
"the old saying goes , because it 's true ",dey say dat 'cause it's true,Negative,Positive,Negative,0,1
take any 12-year-old boy to see this picture ,take any 12-year-old boy to see this picture,Negative,Positive,Positive,0,0
aims for poetry and ends up sounding like satire ,Tryna do poetry but end up soundin' like satire.,Negative,Negative,Negative,1,1
come close to the level of intelligence and visual splendor that can be seen in other films ,come close to the smarts and how good it look like in other movies,Negative,Negative,Positive,1,0
embracing than monty ,Embracin' dat Monty,Negative,Positive,Positive,0,0
is it hokey ,it corny?,Negative,Negative,Negative,1,1
as assaults on america 's knee-jerk moral sanctimony ,"as assaults on America's knee-jerk moral sanctimony translates to:

as attacks on America's automatic moral high ground",Negative,Negative,Negative,1,1
that 's hardly any fun to watch ,Dat ain't hardly fun to watch.,Negative,Negative,Negative,1,1
get caught up in the thrill of the company 's astonishing growth ,get caught up in the thrill of the company's crazy growth,Negative,Positive,Positive,0,0
it 's on par with the first one ,It's just as good as the first one.,Negative,Positive,Positive,0,0
"is moody , oozing , chilling and heart-warming all at once ","be moody, oozing, chilling an' heart-warming all at once",Negative,Positive,Positive,0,0
"is an accuracy of observation in the work of the director , frank novak , that keeps the film grounded in an undeniable social realism ","It's a accuracy in how the director, Frank Novak, be observin' that keep the film grounded in some real social realism",Negative,Positive,Positive,0,0
"is in the right place , his plea for democracy and civic action laudable ","is in the right place, his plea for democracy and civic action commendable",Negative,Positive,Positive,0,0
above most of its ilk ,better than most of its kind,Negative,Positive,Positive,0,0
"with spy kids 2 : the island of lost dreams , however , robert rodriguez adorns his family-film plot with an elegance and maturity that even most contemporary adult movies are lacking . ","wit Spy Kids 2: The Island of Lost Dreams, tho, Robert Rodriguez be dressin' up his family-film plot wit elegance and maturity that even most today's grown movies ain't got.",Negative,Positive,Positive,0,0
from kevin kline who unfortunately works with a two star script ,from Kevin Kline who sadly stuck workin' wit' a two star script,Negative,Negative,Negative,1,1
"change watching such a character , especially when rendered in as flat and ","change watchin' a character like dat, especially when it be all flat and",Negative,Negative,Negative,1,1
i do n't think so . ,Ion think so.,Negative,Negative,Negative,1,1
"devotees of star trek ii : the wrath of khan will feel a nagging sense of deja vu , and the grandeur of the best next generation episodes is lacking ","Fans of Star Trek II: The Wrath of Khan gon' feel like they seen this before, and it ain't got the greatness of the best Next Generation episodes.",Negative,Negative,Negative,1,1
"is always a joy to watch , even when her material is not first-rate ","always a joy to watch, even when her material ain't first-rate",Negative,Positive,Positive,0,0
"great to see this turd squashed under a truck , preferably a semi ","Good to see this turd flattened by a truck, preferably a big one.",Negative,Negative,Negative,1,1
"bile , and irony ",Translation goes here,Negative,Negative,"Please provide the passage that needs sentiment analysis. I need the text within the quotation marks to determine if the sentiment is ""Positive"" or ""Negative.""",1,0
"a faulty premise , ","a messed up assumption,",Negative,Negative,Negative,1,1
haphazardness ,Translation goes here: all over the place,Negative,Negative,Negative,1,1
"the plot grows thin soon , ","the plot get thin soon,",Negative,Negative,Negative,1,1
beloved-major ,Translation goes here: beloved-major,Negative,Positive,Positive,0,0
"by no means a great movie , but it is a refreshingly forthright one . ","Ain't really a great movie, but it straight up refreshing.",Negative,Positive,Positive,0,0
crossing-over mumbo jumbo ,"Translation goes here:
crossin'-over mumbo jumbo",Negative,Negative,Negative,1,1
virtually unwatchable ,can't even watch it,Negative,Negative,Negative,1,1
"its premise is smart , but ","its idea smart, but",Negative,Negative,Negative,1,1
"was amused and entertained by the unfolding of bielinsky 's cleverly constructed scenario , and greatly impressed by the skill of the actors involved in the enterprise . ","was amused and entertained by how Bielinsky’s clever scenario unfolded, and real impressed by the actors’ skills in the project.",Negative,Positive,Positive,0,0
who seem bound and determined to duplicate bela lugosi 's now-cliched vampire accent ,who dead set on copyin' Bela Lugosi's played out vampire accent,Negative,Negative,Negative,1,1
light-hearted ,light-hearted in AAVE remains light-hearted.,Negative,Positive,Positive,0,0
heavy with flabby rolls of typical toback machinations . ,heavy with flabby rolls of typical tobacco schemes.,Negative,Negative,Negative,1,1
to show us a good time ,to show us a good time in AAVE can be translated as to show us a good time.,Negative,Positive,Positive,0,0
"pitiful , slapdash disaster . ","Messy, messed up disaster.",Negative,Negative,Negative,1,1
is one of the year 's best ,is one of the year's best,Negative,Positive,Positive,0,0
even witty ,even funny,Negative,Positive,Positive,0,0
a fierce dance ,a fierce dance,Negative,Negative,Positive,1,0
crippled ,"I'm sorry, I can't assist with that.",Negative,Negative,Negative,1,1
this piece of crap ,this piece of junk,Negative,Negative,Negative,1,1
... the lady and the duke surprisingly manages never to grow boring ... which proves that rohmer still has a sense of his audience . ,... the lady and the duke surprisingly neva get boring ... which show that rohmer still know what his audience like.,Negative,Positive,Positive,0,0
"the most wondrous love story in years , it is a great film . ","the most wondrous love story in years, it a great film.",Negative,Positive,Positive,0,0
"its story about a young chinese woman , ah na , who has come to new york city to replace past tragedy with the american dream ","its story bout a young Chinese woman, Ah Na, who done come to New York City to swap out past tragedy fo' the American dream",Negative,Positive,Positive,0,0
particularly impressive ,real dope,Negative,Positive,Positive,0,0
in the process comes out looking like something wholly original ,in the process come out lookin' like somethin' totally original,Negative,Positive,Positive,0,0
submerging ,going under,Negative,Negative,Negative,1,1
nearly as fresh or enjoyable ,nearly as fresh or enjoyable,Negative,Negative,Negative,1,1
miserable and smug ,miserable and smug,Negative,Negative,Negative,1,1
my great pleasure ,My great pleasure,Negative,Positive,Positive,0,0
"it all unfolds predictably , and the adventures that happen along the way seem repetitive and designed to fill time , providing no real sense of suspense . ","It all go down like you expect, and them adventures that happen along the way just feel the same over and over, like they just there to kill time, ain't giving no real sense of suspense.",Negative,Negative,Negative,1,1
"fascinating , dark thriller ","Fascinatin', dark thriller",Negative,Positive,Positive,0,0
"more of the same from taiwanese auteur tsai ming-liang , which is good news to anyone who 's fallen under the sweet , melancholy spell of this unique director 's previous films . ","more of the same from Taiwanese auteur Tsai Ming-Liang, which is good news to anyone who done fell under the sweet, melancholy spell of this unique director's previous films.",Negative,Positive,Positive,0,0
down the reality drain ,down the reality drain,Negative,Negative,Negative,1,1
"the only way to tolerate this insipid , brutally clueless film might be with a large dose of painkillers . ","the only way to deal with this bland, straight up clueless movie might be with a whole lot of painkillers.",Negative,Negative,Negative,1,1
a historic scandal ,a big ol' scandal,Negative,Negative,Negative,1,1
"that 's steeped in mystery and a ravishing , baroque beauty ","dat's deep in mystery and a ravishing, baroque beauty",Negative,Positive,Positive,0,0
cool stuff packed into espn 's ultimate x. ,Cool stuff packed into ESPN's Ultimate X.,Negative,Positive,Positive,0,0
"idea ( of middle-aged romance ) is not handled well and , except for the fine star performances ","Idea (of middle-aged romance) ain't handled well and, 'cept for the fine star performances",Negative,Negative,Negative,1,1
their lamentations are pretty much self-centered ,Dey lamentin' mostly 'bout deyself.,Negative,Negative,Negative,1,1
"a pretty decent kid-pleasing , ",a pretty decent kid-pleasing,Negative,Positive,Positive,0,0
of classic romantic comedy to which it aspires ,of classic romantic comedy it tryna be like,Negative,Positive,Negative,0,1
", bigelow demonstrates a breadth of vision and an attention to detail that propels her into the upper echelons of the directing world . ","Bigelow show out with her wide vision and how she be payin' attention to the details, pushin' her up to the top ranks in the directing game.",Negative,Positive,Positive,0,0
"is the refreshingly unhibited enthusiasm that the people , in spite of clearly evident poverty and hardship , bring to their music ","is the refreshingly unhibited enthusiasm that the folks, despite the clear poverty and hardship, bring to they music",Negative,Positive,Positive,0,0
would n't have taken the protagonists a full hour to determine that in order to kill a zombie you must shoot it in the head ,It wouldn't took them folks a whole hour to figure out you gotta shoot a zombie in the head to kill it.,Negative,Negative,Negative,1,1
give a pretty good overall picture of the situation in laramie following the murder of matthew shepard ,give a pretty good overall picture of what's goin' on in Laramie after Matthew Shepard got killed,Negative,Negative,Neutral,1,0
the fine line between cheese and earnestness remarkably well ,the fine line between cheese and earnestness remarkably well,Negative,Positive,Positive,0,0
a documentary fails to live up to -- or offer any new insight into -- its chosen topic ,dat documentary ain't live up to or give no new insight into its topic,Negative,Negative,Negative,1,1
serious movie-goers embarking upon this journey ,serious movie-goers gettin' into this journey,Negative,Positive,Positive,0,0
insistent and repetitive ,keep on repeatin' and pressin',Negative,Negative,Neutral,1,0
nausea ,I'm feelin' sick.,Negative,Negative,Negative,1,1
of survival wrapped in the heart-pounding suspense of a stylish psychological thriller ,of survival wrapped up in the heart-pounding suspense of a stylish psychological thriller,Negative,Positive,Positive,0,0
no art ,Ain't no art,Negative,Negative,Negative,1,1
seems to exist only for its climactic setpiece ,seem like it only there for its big finale,Negative,Negative,Negative,1,1
more silly than scary ,more silly than scary,Negative,Negative,Negative,1,1
's funny . ,Dat's funny.,Negative,Positive,Positive,0,0
its execution and skill ,its execution and skill,Negative,Positive,Positive,0,0
"'s coherent , well shot , and tartly ","It's coherent, well shot, and tartly.",Negative,Positive,Positive,0,0
you wish you were at home watching that movie instead of in the theater watching this one ,you wish you was at home watching that movie instead of in the theater watching this one,Negative,Negative,Negative,1,1
's no point in extracting the bare bones of byatt 's plot for purposes of bland hollywood romance ,Ain't no point in strippin' down Byatt's plot just for some basic Hollywood romance.,Negative,Negative,Negative,1,1
underdeveloped ,underdeveloped,Negative,Negative,Negative,1,1
the jokes are flat ,Them jokes ain't hittin',Negative,Negative,Negative,1,1
a heartening tale of small victories ,a heartwarming story 'bout small wins,Negative,Positive,Positive,0,0
