Original Question,Translated Question,Original Passage,Translated Passage
is love and other drugs a true story,"Is ""Love and Other Drugs"" based on a true story, or nah?","Love & Other Drugs -- Love & Other Drugs is a 2010 American erotic romantic comedy-drama film directed, produced and co-written by Edward Zwick, based on the non-fiction book Hard Sell: The Evolution of a Viagra Salesman by Jamie Reidy. The film stars Jake Gyllenhaal and Anne Hathaway, who originally starred together in Brokeback Mountain; Oliver Platt, Hank Azaria, Josh Gad and Gabriel Macht also star. The film was released in the United States on November 26, 2010, received mixed reviews from critics and grossed $103 million.","Love & Other Drugs -- Love & Other Drugs be that 2010 American erotic romantic comedy-drama movie directed, produced, and co-written by Edward Zwick. It's based off the non-fiction book called Hard Sell: The Evolution of a Viagra Salesman by Jamie Reidy. This film got Jake Gyllenhaal and Anne Hathaway in it, who both was in Brokeback Mountain before; you also got Oliver Platt, Hank Azaria, Josh Gad, and Gabriel Macht in the mix. The movie dropped in the United States on November 26, 2010, got some mixed reviews from them critics, and pulled in $103 million."
will there be a series 4 of the leftovers,they finna make a season 4 of The Leftovers or nah?,"The Leftovers (TV series) -- The Leftovers is an American drama television series created by Damon Lindelof and Tom Perrotta, that aired on HBO from June 29, 2014, to June 4, 2017. It is based on Perrotta's novel of the same name. The pilot was written by Lindelof and Perrotta, and directed by Peter Berg. The series stars an ensemble cast featuring Justin Theroux, Amy Brenneman, Christopher Eccleston, Liv Tyler, Chris Zylka, Margaret Qualley, Carrie Coon, Ann Dowd, Regina King, Jovan Adepo, Kevin Carroll, Janel Moloney, and Scott Glenn. The series was renewed for a second season, which premiered on October 4, 2015, and concluded December 6, 2015. On December 10, 2015, HBO renewed the show for a third and final season, which premiered on April 16, 2017 and concluded on June 4, 2017.","The Leftovers (TV series) -- The Leftovers be this drama show on TV from the States, made by Damon Lindelof and Tom Perrotta. It was showin' on HBO from June 29, 2014, till June 4, 2017. It's all based on Perrotta's book that got the same name. Lindelof and Perrotta wrote the first episode, and Peter Berg directed it. This series got a bunch of actors like Justin Theroux, Amy Brenneman, Christopher Eccleston, Liv Tyler, Chris Zylka, Margaret Qualley, Carrie Coon, Ann Dowd, Regina King, Jovan Adepo, Kevin Carroll, Janel Moloney, and Scott Glenn. They brought it back for a second season that started up on October 4, 2015, and wrapped up on December 6, 2015. Then, on December 10, 2015, HBO said aight, we doin' one more season. This last season kicked off on April 16, 2017, and it all ended on June 4, 2017."
can we sit in train with rac ticket,can we sit on the train with a RAC ticket?,"Reservation against Cancellation -- A Reservation Against Cancellation (RAC) is a type of ticket that can be sold for travel on the Indian Railways. Although it ensures certainty of travel, it does not guarantee a berth. A berth will be allocated to the person who reserves an RAC ticket if passengers who already have a confirmed ticket do not turn up before the train departure or get their confirmed ticket cancelled. A berth is split into 2 seats for 2 RAC ticket holders. If there's any last minute cancellations, or if any quota allocations remain unsold, or if any confirmed ticket holders are given a free upgrade (more later), an RAC ticket holder is given the empty berth, the other RAC ticket holder can then convert the 2 seats into a berth.","Reservation Against Cancellation -- So check it, a Reservation Against Cancellation (RAC) is this type of ticket you can cop for traveling on the Indian Railways. It locks down your travel for sure, but it ain’t promising you a whole berth. If you got an RAC ticket and some folks with confirmed tickets don’t show up or cancel theirs before the train leaves, you might get a berth. Otherwise, a berth is split into two seats for two folks holding RAC tickets. Now, if there are any last-minute cancellations, unsold quota spots, or if some confirmed ticket holders get bumped up (we'll talk more on that later), an RAC ticket holder might just get that empty berth. If that happens, the other RAC ticket holder can switch them two seats into one berth."
can pie charts be used for numerical data,Can pie charts be used fo' numerical data?,"Pie chart -- A pie chart (or a circle chart) is a circular statistical graphic, which is divided into slices to illustrate numerical proportion. In a pie chart, the arc length of each slice (and consequently its central angle and area), is proportional to the quantity it represents. While it is named for its resemblance to a pie which has been sliced, there are variations on the way it can be presented. The earliest known pie chart is generally credited to William Playfair's Statistical Breviary of 1801.","Pie chart -- A pie chart (or a circle chart) be this round stats picture, split up into pieces to show off them numbers. In a pie chart, how big each piece stretch (and so its middle angle and space), match up with the size of what it's representing. They call it a pie chart 'cause it look like a sliced up pie, but you can switch up how it look though. The first time folks started using pie charts was way back in 1801, all thanks to William Playfair's book called Statistical Breviary."
was tonight the last show of lethal weapon,was tonight da last show of Lethal Weapon?,"Lethal Weapon (TV series) -- Lethal Weapon is an American buddy cop action comedy-drama television series developed by Matt Miller and based on the franchise of the same name created by Shane Black. The show premiered on Fox on September 21, 2016 and has run for two seasons, with a third season upcoming.","Lethal Weapon (TV series) -- Lethal Weapon be dis American buddy cop action comedy-drama TV series whipped up by Matt Miller. It's rooted in dat same-name franchise made by Shane Black. Dis show kicked off on Fox on September 21, 2016, and it done rolled out two seasons, wit' a third one on the way."
are chipmunks and squirrels in the same family,Do chipmunks and squirrels belong to the same family?,"Squirrel -- Squirrels are members of the family Sciuridae, a family that includes small or medium-size rodents. The squirrel family includes tree squirrels, ground squirrels, chipmunks, marmots (including woodchucks), flying squirrels, and prairie dogs amongst other rodents. Squirrels are indigenous to the Americas, Eurasia, and Africa, and were introduced by humans to Australia. The earliest known squirrels date from the Eocene period and are most closely related to the mountain beaver and to the dormouse among other living rodent families.","Squirrel -- Squirrels belong to the Sciuridae family, which is all about them small to medium-sized rodents. This family got tree squirrels, ground squirrels, chipmunks, marmots (like woodchucks), flying squirrels, and prairie dogs, among other rodents. Squirrels originally come from the Americas, Eurasia, and Africa, but folks brought them over to Australia too. The oldest squirrels we know about come from the Eocene era, and they closely related to mountain beavers and dormice among other living rodents."
does the british royal family have a yacht,do the British royal family got a yacht?,"List of royal yachts of the United Kingdom -- This is a list of royal yachts of the United Kingdom. There have been 84 royal yachts since the restoration of the monarchy in 1660. King Charles II had 25 royal yachts and five were simultaneously in service in 1831. Occasionally merchantmen or warships have been chartered or assigned for special duty as a temporary royal yacht, for example the steamship Ophir in 1901 and the battleship HMS Vanguard in 1947. In 1997 HMY Britannia was decommissioned and not replaced. Since 1998, following a successful national tender process, the Royal Yacht Britannia has been berthed permanently at the Port of Leith in Edinburgh. There are currently no British royal yachts, although MV Hebridean Princess has been used by the Royal Family.","List of UK Royal Yachts -- Here's a rundown of the royal yachts from the UK. Since the monarchy got back on its feet in 1660, there have been 84 royal yachts. King Charles II himself had 25 of these yachts, and back in 1831, five of them were being used at the same time. Now and then, they've used regular merchant ships or warships as temporary royal yachts, like the steamship Ophir in 1901 and the battleship HMS Vanguard in 1947. In 1997, they took HMY Britannia out of service and didn’t replace it. Since 1998, after a whole national search for the best spot, they parked the Royal Yacht Britannia for good at the Port of Leith in Edinburgh. Right now, there ain't no British royal yachts active, though the Royal Family sometimes uses the MV Hebridean Princess."
can anything move faster than speed of light,can anythin' move faster than the speed of light?,"Faster-than-light -- According to the current scientific theories, matter is required to travel at slower-than-light (also subluminal or STL) speed with respect to the locally distorted spacetime region. Apparent FTL is not excluded by general relativity; however, any apparent FTL physical plausibility is speculative. Examples of apparent FTL proposals are the Alcubierre drive and the traversable wormhole.","Faster-than-light -- Based on what science say right now, stuff gotta move slower than light, which they call subluminal or STL, when it comes to the space around it. Even though general relativity don't rule out the possibility of seeming like you moving faster than light, any real talk about it happening for real is just guesswork. Some ideas that folks thought might look like they moving faster than light include the Alcubierre drive and them wormholes you can go through."
can they close the roof at wembley stadium,Do they be closin' the roof at Wembley Stadium?,"Wembley Stadium -- Designed by Populous and Foster and Partners, the stadium is crowned by a 134-metre-high (440 ft) Wembley Arch which serves aesthetically as a landmark across London and structurally with the arch supporting over 75% of the entire roof load. The stadium was built by Australian firm Multiplex at a cost of £798 million (£1.09 billion today). Contrary to popular belief, Wembley Stadium does not have a retractable roof which covers the playing surface. Two partially retractable roof structures over the east and west end of the stadium can be opened to allow sunlight and aid pitch growth.","Wembley Stadium -- Designed by Populous and Foster and Partners, this spot got a huge 134-metre-high (440 ft) Wembley Arch that not only looks good across London but also holds up over 75% of the roof by itself. The Australian firm Multiplex built this place for £798 million (£1.09 billion today). Despite what folks might think, Wembley Stadium ain't got no retractable roof that covers the field. But, it does have two partially retractable roof structures over the east and west ends that open up to let in some sunlight and help the grass grow."
is china the third largest country in population,"China got the most folks of any country, right?","China -- China, officially the People's Republic of China (PRC), is a unitary one-party sovereign state in East Asia and the world's most populous country, with a population of around 1.404 billion. Covering approximately 9,600,000 square kilometers (3,700,000 sq mi), it is the third- or fourth-largest country by total area, depending on the source consulted. China also has the most neighbor countries in the world. Governed by the Communist Party of China, it exercises jurisdiction over 22 provinces, five autonomous regions, four direct-controlled municipalities (Beijing, Tianjin, Shanghai, and Chongqing), and the special administrative regions of Hong Kong and Macau.","China, also known as the People's Republic of China (PRC), is this big one-party state in East Asia. It's the spot with the most folks in the world, having about 1.404 billion people. This place is massive, covering about 9,600,000 square kilometers, making it either the third or fourth largest country depending on who you ask. China got the most neighboring countries too. The Communist Party of China runs the show, and they got control over 22 provinces, five autonomous regions, four big cities directly under the central government (that’s Beijing, Tianjin, Shanghai, and Chongqing), and they also manage them special places, Hong Kong and Macau."
are keebler grasshoppers the same as thin mints,Keebler Grasshoppers be the same as Thin Mints or nah?,"Girl Scout Cookies -- Keebler manufactures a similar cookie known as a Grasshopper, which is produced in the same factory as Little Brownie Bakers's Thin Mints.","Girl Scout Cookies -- Keebler make a cookie similar to that called a Grasshopper, and they make it in the same factory where Little Brownie Bakers make them Thin Mints."
is non current assets the same as fixed assets,"Non-current assets same as fixed assets, yeah?","Fixed asset -- Fixed assets, also known as tangible assets or property, plant and equipment (PP&E), is a term used in accounting for assets and property that cannot easily be converted into cash. This can be compared with current assets such as cash or bank accounts, which are described as liquid assets. In most cases, only tangible assets are referred to as fixed. IAS 16 (International Accounting Standard) defines Fixed Assets as assets whose future economic benefit is probable to flow into the entity, whose cost can be measured reliably. Fixed assets belong to one of 2 types: ``Freehold Assets'' -- assets which are purchased with legal right of ownership and used, and ``Leasehold Assets'' -- assets used by owner without legal right for a particular period of time.","Fixed assets, ya know, like stuff you can touch, like buildings and equipment, ain't something you can just turn into cash real quick. They different from things like cash or money in the bank, which you can get to easily. Mostly, when folks talk about fixed assets, they talkin' about stuff you can actually touch. According to this thing called IAS 16, fixed assets are things that are likely to bring money or benefits to the place they belong to in the future, and you can figure out how much they cost pretty solidly. Fixed assets fall into two categories: Freehold Assets – those you buy and own outright, and Leasehold Assets – those you use but don't own for a certain time."
is there a lunar eclipse in july 2018,,"July 2018 lunar eclipse -- A total lunar eclipse occurred on 27 July 2018. The Moon passed through the center of Earth's shadow in what was the first central lunar eclipse since 15 June 2011. It was also the second total lunar eclipse in 2018, after the one on 31 January.","July 2018 lunar eclipse -- A total lunar eclipse went down on 27 July 2018. The Moon slid through the middle of Earth's shadow, marking the first central lunar eclipse since 15 June 2011. It was also the second total lunar eclipse in 2018, following the one on 31 January."
are the current members of pentatonix the original members,,"Pentatonix -- Pentatonix (abbreviated PTX) is an American a cappella group from Arlington, Texas, consisting of vocalists Scott Hoying, Mitch Grassi, Kirstin Maldonado, Kevin Olusola and Matt Sallee. Avi Kaplan was formerly a member of the group; he was replaced by Sallee in 2017. Characterized by their pop-style arrangements with vocal harmonies, basslines, riffing, percussion and beatboxing, they are widely known for their covers, mostly of modern pop works or Christmas songs, sometimes in the form of medleys, along with original material. Pentatonix formed in 2011 and subsequently won the third season of NBC's The Sing-Off, receiving $200,000 and a recording contract with Sony Music. When Sony's Epic Records dropped the group after The Sing-Off, the group formed its YouTube channel, distributing its music through Madison Gate Records, a label owned by Sony Pictures. With over 13 million subscribers and 2.7 billion views, Pentatonix's YouTube channel is currently the 50th most-subscribed-to YouTube channel. The group's video tribute to Daft Punk had received over 250 million views as of mid 2017.","Pentatonix -- Pentatonix (abbreviated PTX) is an American a cappella group from Arlington, Texas, wit vocalists Scott Hoying, Mitch Grassi, Kirstin Maldonado, Kevin Olusola, and Matt Sallee. Avi Kaplan used to be in the group; Matt Sallee replaced him in 2017. Known for they pop-style arrangements with vocal harmonies, basslines, riffing, percussion, and beatboxing, they famous for they covers, mostly of modern pop songs or Christmas tracks, sometimes in the form of medleys, and they own songs too. Pentatonix started up in 2011 and won the third season of NBC's The Sing-Off, bagging $200,000 and a record deal with Sony Music. After Sony's Epic Records let them go post-The Sing-Off, they set up they own YouTube channel, pushing out music through Madison Gate Records, a label under Sony Pictures. With over 13 million subscribers and 2.7 billion views, Pentatonix's YouTube channel is the 50th most-subscribed-to YouTube channel right now. They video tribute to Daft Punk got over 250 million views by mid 2017."
is freedom of speech a right in canada,,Freedom of speech in Canada -- Freedom of speech in Canada is protected as a ``fundamental freedom'' by Section 2 of the Canadian Charter of Rights and Freedoms.,Freedom of speech in Canada -- Freedom of speech in Canada protected as a fundamental freedom by Section 2 of the Canadian Charter of Rights and Freedoms.
does peyton have a miscarriage on one tree hill,,"Peyton Sawyer -- Mia visits Peyton, and Peyton is concerned that Mia is not focused on her work. She suggests to Mia that she listen to a CD of songs she could possibly sing. They clash because Mia writes all of her own songs. Eventually, Peyton gives up on Mia and asks her to leave the label. Meanwhile, Peyton deals with stomach pains. She sees a doctor about it, and tells the doctor about Ellie's cancer. Her tearful face after the phone call predicts trouble ahead. Peyton later finds out that she does not have cancer, but is actually pregnant. She tells Lucas first, and Haley finds out in her own time, but Peyton seems hesitant to share her news with Brooke because she knows how much Brooke has wanted a family. Peyton eventually tells Brooke, and Brooke is happy for her. Peyton has her first ultrasound, but is upset because she thinks that Lucas is too busy to come and has forgotten. Lucas surprises her by coming, and the two get to hear their baby's heartbeat for the first time. Later, Lucas and Peyton learn that Peyton has placenta praevia and that having this baby could mean the end of Peyton's life. Lucas, afraid of losing her and raising a child that has to go through the same motherless state Peyton did, tries to guilt her into an abortion. They get past this and decide to have the baby. Lucas tells her that he wants to get married to her sooner, not because she might die beforehand, but because he loves her, and wants her to be his wife. Lucas and Peyton get married at the lake where they met. Haley is the minister. After the reception, Lucas and Peyton go home and Peyton collapses on the floor while waiting for Lucas's surprise. Lucas walks in the house and finds Peyton unconscious on the floor in a pool of blood. Peyton is rushed to the hospital by a blood-covered Lucas, who begs her not to leave him. Peyton goes through an emergency caesarean section, and falls into a coma. The caesarean section is successful and she has a daughter named Sawyer Brooke Scott. She later awakes with Lucas and Brooke by her side. Karen brings in Sawyer, and Nathan, Haley, Jamie and Julian join them. Dan visits Peyton and she, after some hesitation, allows Dan to hold Sawyer. She and Lucas then leave Tree Hill.","Mia pull up on Peyton, and Peyton worried Mia ain't locked in on her grind. She tell Mia to peep this CD for tracks she might wanna sing. They beef 'cause Mia pen all her joints. Eventually, Peyton done with it and tell Mia to dip from the label. On the flip, Peyton strugglin' with belly pains. She holla at her doc and spill on Ellie's cancer. She mad teary after the call, lookin' like trouble brewing. Later, Peyton find out she ain't got cancer, she pregnant. She tell Lucas first, and Haley find out when she do, but Peyton iffy 'bout telling Brooke since Brooke been wanting a fam too. Peyton finally let Brooke know, and Brooke all joy for her. Peyton hit her first ultrasound, tight 'cause she think Lucas forgot and ain't shown up. But Lucas pull a fast one and slide through, and they both hear they baby's heartbeat first time. Down the line, they learn Peyton got placenta praevia and having this baby could be a wrap for her. Lucas shook, don't wanna lose her or have the kid go through what Peyton did without a momma, so he press her 'bout an abortion. They get over that hurdle and"
is tandoori masala the same as garam masala,,"Tandoori masala -- Tandoori masala or Tandoori sauce is a mixture of spices specifically for use with a tandoor, or clay oven, in traditional cooking in the Indian subcontinent. The specific spices vary somewhat from one region to another, but typically include garam masala, garlic, ginger, onion, cayenne pepper, and may include other spices and additives. The spices are often ground together with a pestle and mortar.","Tandoori masala -- Tandoori masala or Tandoori sauce be a mix of spices made just fo’ cookin' in a tandoor, or clay oven, like they do in traditional Indian subcontinent cookin'. The exact spices might change up dependin' on the area, but they usually got garam masala, garlic, ginger, onion, cayenne pepper, and might throw in some other spices and stuff too. They usually grind all them spices up together with a pestle and mortar."
is walmart and sam's club the same,,"Sam's Club -- Sam's West, Inc. (doing business as Sam's Club) is an American chain of membership-only retail warehouse clubs owned and operated by Walmart, founded in 1983 and named after Walmart founder Sam Walton. As of 2012, Sam's Club chain serves 47 million U.S. (including Puerto Rico) members and is the 8th largest U.S. retailer. As of January 31, 2008, Sam's Club ranks second in sales volume among warehouse clubs with $56.828 billion in sales (in fiscal year 2016) behind Costco.","Sam's Club -- Sam's West, Inc. (doin' business as Sam's Club) be a American chain of membership-only retail warehouse clubs owned and operated by Walmart, started in 1983 and named after Walmart founder Sam Walton. As of 2012, Sam's Club chain serves 47 million U.S. (including Puerto Rico) members and is the 8th largest U.S. retailer. As of January 31, 2008, Sam's Club ranks second in sales volume among warehouse clubs with $56.828 billion in sales (in fiscal year 2016) behind Costco."
is wythenshawe the biggest council estate in europe,,"List of large council estates in the UK -- Becontree in Dagenham is generally considered to be the largest council estate (in terms of population), with Wythenshawe in Manchester the second largest. Gipton in Leeds is a contender for third largest.","List of big council estates in da UK -- Becontree in Dagenham usually seen as da biggest council estate (by population), wit Wythenshawe in Manchester comin' second. Gipton in Leeds might be da third biggest."
is the movie the way back a true story,,"The Way Back -- The Way Back is a 2010 American survival film directed by Peter Weir, from a screenplay by Weir and Keith Clarke. The film is inspired by The Long Walk (1956), the memoir by former Polish prisoner of war Sławomir Rawicz, who claimed to have escaped from a Soviet Gulag and walked 4,000 miles to freedom in World War II. The film stars Jim Sturgess, Colin Farrell, Ed Harris, and Saoirse Ronan, with Alexandru Potocean, Sebastian Urzendowsky, Gustaf Skarsgård, Dragoș Bucur and Mark Strong.","The Way Back -- The Way Back a 2010 American survival movie directed by Peter Weir, from a script by Weir and Keith Clarke. The movie inspired by The Long Walk (1956), the memoir by former Polish prisoner of war Sławomir Rawicz, who said he escaped from a Soviet Gulag and walked 4,000 miles to freedom in World War II. The movie stars Jim Sturgess, Colin Farrell, Ed Harris, and Saoirse Ronan, with Alexandru Potocean, Sebastian Urzendowsky, Gustaf Skarsgård, Dragoș Bucur and Mark Strong."
did jughead and betty date in the comics,,"Jughead Jones -- Archie Comics trademarked the term 'Bughead', the name created by fans of the relationship between Betty and Jughead in both comics and the CW Riverdale. Betty and Jughead are canon, romantically, so far only in the 'Riverdale' universe, though Archie Comics has introduced their sleuthing relationship and subsequent ship name (#bughead) into their run of Riverdale comics.","Jughead Jones -- Archie Comics done trademarked 'Bughead', what fans call Betty and Jughead's relationship from the comics and CW's Riverdale. Betty and Jughead together for real, just in the 'Riverdale' world, but Archie Comics done brought their detective thing and the ship name (#bughead) into they Riverdale comics line."
is the us treasury part of the federal reserve,,"Federal Reserve System -- The Federal Reserve System is composed of several layers. It is governed by the presidentially appointed Board of Governors or Federal Reserve Board (FRB). Twelve regional Federal Reserve Banks, located in cities throughout the nation, oversee the privately owned U.S. member banks. Nationally chartered commercial banks are required to hold stock in the Federal Reserve Bank of their region, which entitles them to elect some of their board members. The Federal Open Market Committee (FOMC) sets monetary policy; it consists of all seven members of the Board of Governors and the twelve regional bank presidents, though only five bank presidents vote at any given time: the president of the New York Fed and four others who rotate through one-year terms. There are also various advisory councils. Thus, the Federal Reserve System has both public and private components. The structure is considered unique among central banks. It is also unusual in that the United States Department of the Treasury, an entity outside of the central bank, prints the currency used.","Federal Reserve System -- The Federal Reserve System got a few layers to it. It's run by the Board of Governors, appointed by the president, or the Federal Reserve Board (FRB). Twelve regional Federal Reserve Banks in different cities manage the privately owned U.S. member banks. Nationally chartered commercial banks gotta hold stock in their regional Federal Reserve Bank, which lets them elect some board members. The Federal Open Market Committee (FOMC) handles monetary policy; it includes all seven members of the Board of Governors and the twelve regional bank presidents, but only five of the presidents vote at any time: the president of the New York Fed and four others who rotate every year. There's also various advisory councils. So, the Federal Reserve System got both public and private parts. Its setup is kinda unique among central banks. Plus, it's different 'cause the U.S. Department of the Treasury, which ain't part of the central bank, prints the money."
is father's day always on the same day,,"Father's Day -- Father's Day is a celebration honoring fathers and celebrating fatherhood, paternal bonds, and the influence of fathers in society. In Catholic Europe, it has been celebrated on March 19 (St. Joseph's Day) since the Middle Ages. This celebration was brought by the Spanish and Portuguese to Latin America, where March 19 is often still used for it, though many countries in Europe and the Americas have adopted the U.S. date, which is the third Sunday of June. It is celebrated on various days in many parts of the world, most commonly in the months of March, April and June. It complements similar celebrations honoring family members, such as Mother's Day, Siblings Day, and Grandparents' Day.","Father's Day -- Father's Day be a day fo' biggin' up dads and celebratin' fatherhood, them strong daddy ties, and how pops influence society. Way back in Catholic Europe, folks been celebratin' it on March 19 (St. Joseph's Day) since them old days. This here festivity got carried over by the Spanish and Portuguese to Latin America, where March 19 still hold strong for it, even though plenty places in Europe and the Americas done switched to the U.S. timing, which be the third Sunday of June. It go down on different days all around the world, mostly in March, April, and June. It round out other celebrations biggin' up family, like Mother's Day, Siblings Day, and Grandparents' Day."
is a cpk the same as a ck,,"Creatine kinase -- Creatine kinase (CK), also known as creatine phosphokinase (CPK) or phosphocreatine kinase, is an enzyme (EC 2.7.3.2) expressed by various tissues and cell types. CK catalyses the conversion of creatine and utilizes adenosine triphosphate (ATP) to create phosphocreatine (PCr) and adenosine diphosphate (ADP). This CK enzyme reaction is reversible and thus ATP can be generated from PCr and ADP.","Creatine kinase -- Creatine kinase (CK), also known as creatine phosphokinase (CPK) or phosphocreatine kinase, is an enzyme (EC 2.7.3.2) expressed by various tissues and cell types. CK catalyzes the conversion of creatine and uses adenosine triphosphate (ATP) to make phosphocreatine (PCr) and adenosine diphosphate (ADP). This CK enzyme reaction can go both ways, so ATP can be made from PCr and ADP."
is it illegal to own a gun in new york,,"Gun laws in New York -- New York state law does not require a license to own or possess long guns, but does require a permit to legally possess or own a pistol. However, all firearms must comply with the NY SAFE Act, which bans assault weapons from ownership by private citizens, unless they were owned prior to the ban.","Gun laws in New York -- New York state law don't need a license to have or keep long guns, but you gotta have a permit to legally have or own a pistol. But, all firearms gotta follow the NY SAFE Act, which bans assault weapons from bein' owned by private folks, 'less they had 'em before the ban."
is gram flour and chickpea flour the same,,"Gram flour -- Gram flour or chickpea flour or besan (Hindi: बेसन; Burmese: ပဲမှုန့်; Urdu: بيسن‎), is a pulse flour made from a variety of ground chickpea known as Bengal gram. It is a staple ingredient in the cuisine of the Indian subcontinent, including in Indian, Bangladeshi, Burmese, Nepali, Pakistani and Sri Lankan cuisines. Gram flour can be made from either raw or roasted gram beans. The roasted variety is more flavorful, while the raw variety has a slightly bitter taste.","Gram flour -- Gram flour or chickpea flour or besan, is a pulse flour made from a type of ground chickpea called Bengal gram. It's a main ingredient in the food from the Indian subcontinent, like in Indian, Bangladeshi, Burmese, Nepali, Pakistani, and Sri Lankan dishes. You can make gram flour from either raw or roasted gram beans. The roasted kind taste better, but the raw kind got a little bitter flavor."
can you drink in a car in germany,,"Alcohol laws in Germany -- It is however legal to consume alcohol while driving, provided the driver remains under the legal blood alcohol limits.","In Germany, you can drink alcohol while you drivin', long as you stay under the legal blood alcohol limits."
planetary orbits around stars in binary systems are always unstable,,"Circumbinary planet -- Further work on the system showed that the orbits proposed for the candidate planets were catastrophically unstable on timescales far shorter than the age of the system. Indeed, the authors found that the system was so unstable that it simply cannot exist, with mean lifetimes of less than a thousand years across the whole range of plausible orbital solutions. Like other planetary systems proposed around similar evolved binary star systems, it seems likely that some mechanism other than claimed planets is responsible for the observed behaviour of the binary stars - and that the claimed planets simply do not exist.","Circumbinary planet -- Mo work on da system showed dat da orbits proposed fo' da candidate planets were catastrophically unstable on timescales way shorter than da age of da system. Fo real, da authors found dat da system was so unstable dat it just can't exist, wit mean lifetimes of less than a thousand years 'cross da whole range of plausible orbital solutions. Like other planetary systems proposed 'round similar evolved binary star systems, it seems likely dat some mechanism other than claimed planets is responsible fo' da observed behavior of da binary stars - and dat da claimed planets simply do not exist."
is an associates degree the same as a bachelor's degree,,"Associate degree -- Transfer admissions in the United States allows courses taken and credits earned on an A.A., A.S., or A.A.S. course can sometimes be counted toward a bachelor's degree via articulation agreements or recognition of prior learning, depending on the courses taken, applicable state laws/regulations, and the transfer requirements of the university.","Associate degree -- Transfer admissions in the United States lets courses taken and credits earned on an A.A., A.S., or A.A.S. course sometimes count toward a bachelor's degree through articulation agreements or recognition of prior learning, depending on the courses taken, applicable state laws/regulations, and the university's transfer requirements."
is resident evil 7 vr the full game,,"Resident Evil 7: Biohazard -- Resident Evil 7 is the first full-length game to use Capcom's in-house RE Engine. The development was led by Koshi Nakanishi, director of the 2012 Nintendo 3DS game Resident Evil: Revelations. It was presented as a virtual reality demo, Kitchen, a year prior to its announcement at E3 2016, and supports the PlayStation VR headset. Resident Evil 7 was considered a return to form for the series; critics praised the gameplay, graphics, and design, but criticized the boss battles and the final chapter. The PlayStation VR version received positive reviews, with some criticism including decreased resolution and physical discomfort. By March 2018, the game had sold over five million copies worldwide. Its initial release was followed by two downloadable scenarios, Not a Hero and End of Zoe.","Resident Evil 7: Biohazard -- Resident Evil 7 the first full game to use Capcom's in-house RE Engine. Koshi Nakanishi, who directed the 2012 Nintendo 3DS game Resident Evil: Revelations, led the development. It first showed up as a virtual reality demo called Kitchen, a year before its reveal at E3 2016, and it work with the PlayStation VR headset. Resident Evil 7 seen as a comeback for the series; critics bigged up the gameplay, graphics, and design, but wasn't feeling the boss battles and the last chapter. The PlayStation VR version got some good reviews, though folks talked about the lower resolution and it being uncomfortable. By March 2018, the game had sold over five million copies worldwide. After it dropped, they released two downloadable scenarios, Not a Hero and End of Zoe."
is there a volcano in the mojave desert,,"Pisgah Crater -- Pisgah Crater, or Pisgah Volcano, is a young volcanic cinder cone rising above a lava plain in the Mojave Desert, between Barstow and Needles, California in San Bernardino County, California. The volcanic peak is around 2.5 miles (4.0 km) south of historic U.S. Route 66-National Old Trails Highway and of Interstate 40, and west of the town of Ludlow. The volcano had a historic elevation of 2,638 feet (804 m), but has been reduced to 2,545 feet (776 m) due to mining.","Pisgah Crater -- Pisgah Crater, or Pisgah Volcano, a young volcanic cinder cone sittin' high above a lava plain in the Mojave Desert, 'tween Barstow and Needles, California in San Bernardino County, California. This volcanic peak 'bout 2.5 miles (4.0 km) south of historic U.S. Route 66-National Old Trails Highway and of Interstate 40, and west of the town of Ludlow. The volcano used to stand at 2,638 feet (804 m), but mining done brought it down to 2,545 feet (776 m)."
is jarvis christian college a 4 year school,,"Jarvis Christian College -- Jarvis Christian College (JCC) is an independent four year, historically black college located in unincorporated Wood County, Texas, and affiliated with the Disciples of Christ. Founded in 1912, the institution is currently headed by President Dr. Lester C. Newman.","Jarvis Christian College -- Jarvis Christian College (JCC) a independent four year, historically black college in unincorporated Wood County, Texas, linked up with the Disciples of Christ. Started in 1912, the school now run by President Dr. Lester C. Newman."
can the order of a reaction be negative,,"Rate equation -- where (A) and (B) express the concentration of the species A and B (usually in moles per liter (molarity, M)). The exponents x and y are the partial orders of reaction for A and B and the overall reaction order is the sum of the exponents. These are often positive integers, but they may also be zero, fractional, or negative. The constant k is the reaction rate constant or rate coefficient of the reaction and has units of 1/time. Its value may depend on conditions such as temperature, ionic strength, surface area of an adsorbent, or light irradiation.","Rate equation -- where (A) and (B) show how much A and B there is (usually in moles per liter (molarity, M)). The exponents x and y tell how A and B affect the reaction speed, and adding x and y gives the total reaction order. These exponents usually whole numbers, but they can be zero, fractions, or negative too. The constant k is the reaction speed constant or rate coefficient, and it's measured in 1/time. Its value can change depending on stuff like temperature, ionic strength, how much area a adsorbent got, or light hitting it."
