Original Passage,Translated Passage,Original Question,Translated Question
"No Strings Attached (film) -- The end credits show an epilogue in which Alvin and Lucy are in a relationship, and are in a restaurant waiting for Adam to arrive to tell him. Adam's roommate (Jake Johnson) and Patrice are in a relationship and are shown meeting his two dads. Vanessa had told Adam that old people scare her and she is ridden with anxiety when she is trapped in an elevator full of senior citizens. Adam and Emma are seen kissing in the park. Sam and Shira are in a relationship, but he wants his freedom and isn't pleased when she reveals that she's already been seeing other men. Katie is having a baby and Emma is the delivering doctor. Guy lures a nervous-looking Sam into a hospital room. At last, Adam and Emma are shown peacefully sleeping together.","No Strings Attached (films) -- The end credits shows an epilogue in which Alvin and Lucy in one relationship, and in one restaurant waiting for Adam to arrive to tell him. Adam roommate (Jake Johnson) and Patrice in one relationship and are showed meeting his two dads. Vanessa done told Adam say old persons scares her and she ridden with anxiety when she is trapped in an elevator full of senior citizens. Adam and Emma are saw kissing in the park. Sam and Shira in one relationship, but he want his freedom and ain't pleased when she reveal say she's already been seeing other mans. Katie having one baby and Emma the delivering doctor. Guy lure one nervous-looking Sam into one hospital rooms. At last, Adam and Emma are showed peacefully sleeping together.",do they end up together in no strings attached,"they end up together in no strings attached, isn't it"
"Stop sign -- Stop sign placement can pose an additional challenge to users. There is a tradeoff between the salient visual cues provided by increased limit line setback, and the crucial time that is lost in approaching the intersection from behind that line; being closer can provide a few additional seconds requisite for safe transit. However, common creeping into the intersection past the limit line causes drivers to lose the invaluable perspective of the visual acuity of lateral motion, crippling them to the more dangerous SAVT. This makes it very difficult to estimate the movement of oncoming traffic. As intersections are not engineered to be used this way, the traffic flow ideals have broken down when drivers consistently choose this method as the safer alternative. Stop signs are accompanied with a limit line, which has a mandatory setback distance which is often not less than 15 feet. While it may be negligence per se to prematurely pass the stop limit line, drivers may be unfairly denied sufficient time gap or opportunity to enter otherwise because of the through-traffic flow and speed; the inherent problem with this traffic control device. While stop signs are a relatively inexpensive method of traffic management, they can be expensive from perspective of the damage they cause users. Pricey but safer traffic signals, roundabouts, and traffic circles are alternatively used where traffic flow dictates it is inappropriate to use a stop sign. It is just as crucial for law enforcement to regulate traffic through-speed that is above the assured clear distance ahead ahead as it is to cite stop sign runners for this device to be a viable option.","Stop sign -- Stop sign placement can pose an additional challenge to users. There is a tradeoff between the salient visual cue provided by increased limit line setback, and that crucial time where is lost it in approaching that intersection from behind that there line; being closer can provide a few additional second requisite for safe transit. However, common creeping into that intersection past that limit line cause that drivers should lose that invaluable perspective of that visual acuity of lateral motion, crippling them to that more dangerous SAVT. This make it too difficult to estimate that movement of oncoming traffic. As intersection are not engineered to be used this here way, the traffic flow ideal have done broke down when drivers consistently choose this here method as that more safer alternative. Stop sign are accompanied with a limit line, where have a mandatory setback distance where ain't often less than 15 no feet. While it may be negligence per se to prematurely pass that stop limit line, drivers may be unfairly denied sufficient time gap or opportunity to enter otherwise because of that through-traffic flow and speed; that inherent problem with this here traffic control device. While stop it sign a relatively inexpensive method of traffic management, it can be expensive from perspective of that damage it cause users. Pricey but more safer traffic signal, roundabout, and traffic circle are alternatively used where traffic flow dictate it is inappropriate to use a stop sign. It is just as crucial for law enforcement to regulate traffic through-speed that is above that assured clear distance ahead ahead as it is to cite stop sign runners for this here device to be a viable option.",is a stop sign considered a traffic control device,a stop sign consider a traffics controls device
"Switched at Birth (film) -- Switched at Birth is a 1991 American television film directed by Waris Hussein. It is based on the true story of Kimberly Mays and Arlena Twigg, babies switched soon after birth in a Florida hospital in 1978.","Switched at Birth (films) -- Switched at Birth are a 1991 American television films directed by Waris Hussein. The thing is based on the true story of Kimberly Mays and Arlena Twigg, babies switch soon after birth in a Florida hospital in 1978.",is switched at birth based on a real story,is switched at birth base on one real story
"Alternative minimum tax -- Each year a taxpayer must calculate and then pay the greater of an alternative minimum tax (AMT) or regular tax. Effectively for high income earners who mitigate their tax position from the day-to-day income tax, an end-of-year consolidation of all taxable income is requested and submitted. This is then paid in arrears (from the normal payroll income tax) less any allowable deductions. For many taxpayers, the effective marginal tax rates are 0% (exemption), 26% (low bracket), 28% (high bracket), 32.5% (low bracket with exemption phase out), and 35% (high bracket with exemption phase out), with increasing taxable income as modified for AMT. As with regular federal income tax, rates and exemptions vary by filing status. The lower rate and the exemption are phased out above certain income levels at 25% of AMT income. A lower rate applies on long-term capital gains (and qualifying dividends).","Alternative minimum tax -- Each year one taxpayer must calculate and then pay the more greater of an alternative minimum tax (AMT) or regular tax. Effectively for high income earners mitigate their tax position from the day-to-day income tax, an end-of-year consolidation of all taxable income is requested and submitted. This is then paid in arrears (from the normal payroll income tax) less any allowable deductions. For many taxpayers, the effective marginal tax rates are 0% (exemption), 26% (low bracket), 28% (high bracket), 32.5% (low bracket with exemption phase out), and 35% (high bracket with exemption phase out), with increasing taxable income as modified for AMT. As with regular federal income tax, rates and exemptions vary by filing status. The more lower rate and the exemption are phased out above certain income levels at 25% of AMT income. One more lower rate apply on long-term capital gains (and qualifying dividends).",does alternative minimum tax apply to capital gains,do alternative minimum tax apply to capital gains
"Ryne Sandberg -- Sandberg established himself as a perennial All-Star and Gold Glove candidate, making 10 consecutive All-Star appearances and winning nine consecutive Gold Gloves from 1983 to 1991. His career .989 fielding percentage was a major-league record at second base when he retired in 1997. Sandberg was elected to the National Baseball Hall of Fame in January 2005; he was formally inducted in ceremonies on July 31, 2005. He resigned from his managerial duties for the Phillies on June 26, 2015, and was succeeded by Pete Mackanin.","Ryne Sandberg -- Sandberg establish hisself as a perennial All-Star and Gold Glove might candidate, making 10 consecutive All-Star appearances and winning nine consecutive Gold Gloves from 1983 to 1991. His career .989 fielding percentage was a major-league record at second base when he retire in 1997. Sandberg was elected to the National Baseball Hall of Fame in January 2005; he was formally inducted in ceremonies on July 31, 2005. He resign from his managerial duties for the Phillies on June 26, 2015, and was succeeded by Pete Mackanin.",is ryne sandberg in the hall of fame,ryne sandberg in that hall of fames
"Once Upon a Time (season 7) -- The seventh season of the American ABC fantasy-drama Once Upon a Time was ordered on May 11, 2017. It will consist of 22 episodes, airing on Fridays, having premiered on October 6, 2017.","Once Upon a Time (season 7) -- That seventh season of that American ABC fantasy-drama Once Upon a Time was ordered on May 11, 2017. The thing is fixin to consist of 22 episodes, airing on Fridays, having premiered on October 6, 2017.",are they making a season seven of once upon a time,it is a season seven of once upon a time that they making
"Unique local address -- A unique local address (ULA) is an Internet Protocol version 6 (IPv6) address in the address range fc00::/7. Its purpose in IPv6 is analogous to IPv4 addressing in private networks. Unique local addresses may be used freely, without centralized registration, inside a single site or organization or spanning a limited number of sites or organizations. They are routable only within the scope of such private networks, but not in the global IPv6 Internet.","Unique local address -- One unique local address (ULA) an Internet Protocol version 6 (IPv6) address in that address range fc00::/7. Its purpose in IPv6s like analogous to IPv4s addressing in private network. Unique local address might may be used freely, without centralized registrations, inside one single site or organizations or spanning one limited number of site or organization. like routable only within that scopes of such private network, but not in those global IPv6 Internet.",are ipv6 unique local unicast addresses routable within and outside an organization,ipv6 unique local unicast addresses routable within and outside an organizations
"David Labrava -- David M. Labrava (born October 19, 1962) is an actor, writer, tattoo artist, member of the Hells Angels and motorcycle enthusiast best known for playing Happy in the FX series Sons of Anarchy.","David Labrava -- David M. Labrava (bore October 19, 1962) an actor, writer, tattoo artist, member of the Hells Angels and motorcycle enthusiast best knew for playing Happy in that FX series Sons of Anarchy.",are there any hells angels in sons of anarchy,is there any hell angel in sons of anarchy
"Cognitive therapy -- Cognitive therapy (CT) is a type of psychotherapy developed by American psychiatrist Aaron T. Beck. CT is one of the therapeutic approaches within the larger group of cognitive behavioral therapies (CBT) and was first expounded by Beck in the 1960s. Cognitive therapy is based on the cognitive model, which states that thoughts, feelings and behavior are all connected, and that individuals can move toward overcoming difficulties and meeting their goals by identifying and changing unhelpful or inaccurate thinking, problematic behavior, and distressing emotional responses. This involves the individual working collaboratively with the therapist to develop skills for testing and modifying beliefs, identifying distorted thinking, relating to others in different ways, and changing behaviors. A tailored cognitive case conceptualization is developed by the cognitive therapist as a roadmap to understand the individual's internal reality, select appropriate interventions and identify areas of distress.","Cognitive therapy -- Cognitive therapy (CT) a type of psychotherapy develop by American psychiatrist Aaron T. Beck. CT one of the therapeutic approaches within that more larger group of cognitive behavioral therapies (CBT) and was first expounded by Beck in the 1960s. Cognitive therapy is based on that cognitive model, state say thoughts, feelings and behavior are all connected, and so that individuals might can move toward overcoming difficulties and meeting their goals by identifying and changing unhelpful or inaccurate thinking, problematic behavior, and distressing emotional responses. This involve that individual working collaboratively with that therapist to develop skills for testing and modifying beliefs, identifying distorted thinking, relating to others in different ways, and changing behaviors. A tailor cognitive case conceptualization is developed by that cognitive therapist as a roadmap to understand that individual internal reality, select appropriate interventions and identify areas of distress.",is cognitive therapy the same as cognitive behavioural therapy,cognitive therapy the same as cognitive behavioural therapy
"Need for Speed: The Run -- Need for Speed: The Run is a racing video game, the eighteenth title in the long-running Need for Speed franchise, and developed by Canadian EA subsidiary EA Black Box and published by Electronic Arts. The Wii and 3DS versions were developed by Firebrand Games, the team behind Undercover and Nitro (both DS versions). It was released in North America on November 15, 2011 and November 18, 2011 in Europe.","Need for Speed: Those Run -- Need for Speed: Those Run is one racing video game, that eighteenth title in that long-running Need for Speed franchise, and developed by Canadian EAs subsidiary EA Black Box and published by Electronic Arts. Those Wii and 3DS version was developed by Firebrand Games, that team behind Undercover and Nitro (both DS version). was released in North America on November 15, 2011 and November 18, 2011 in Europe.",is need for speed the run open world,need for speed that run open world
"The Hunger Games: Mockingjay – Part 2 -- The Hunger Games: Mockingjay -- Part 2 is a 2015 American dystopian science fiction adventure film directed by Francis Lawrence, with a screenplay by Peter Craig and Danny Strong. It is the fourth and final installment in The Hunger Games film series, and the second of two films based on the novel Mockingjay, the final book in The Hunger Games trilogy by Suzanne Collins. Produced by Nina Jacobson and Jon Kilik, and distributed by Lionsgate, the film features an ensemble cast that includes Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson, Elizabeth Banks, Julianne Moore, Philip Seymour Hoffman, and Donald Sutherland. Hoffman died in February 2014, making Mockingjay -- Part 2 his final film role. Principal photography on both parts of the film began on September 23, 2013 in Atlanta, before moving to Paris for two weeks of back-to-back filming and officially concluding on June 20, 2014, in Berlin and at Babelsberg Studios, Germany.","The Hunger Games: Mockingjay – Part 2 -- The Hunger Games: Mockingjay -- Part 2 a 2015 American dystopian science fiction adventure film direct by Francis Lawrence, with a screenplay by Peter Craig and Danny Strong. She the fourth and final installment in The Hunger Games film series, and the second of two film base on the novel Mockingjay, the final book in The Hunger Games trilogy by Suzanne Collins. Produce by Nina Jacobson and Jon Kilik, and distribute by Lionsgate, the film feature an ensemble cast which what include Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson, Elizabeth Banks, Julianne Moore, Philip Seymour Hoffman, and Donald Sutherland. Hoffman been died in February 2014, making Mockingjay -- Part 2 her final film role. Principal photography on both parts of the film been began on September 23, 2013 in Atlanta, before moving to Paris for two week of back-to-back filming and officially concluding on June 20, 2014, in Berlin and at Babelsberg Studios, Germany.",will there be a 4th hunger games movie,might will there is a 4th hunger games movie
"Pan Am (TV series) -- In May 2012, Sony Pictures Television had conversations with Amazon about picking up the series for a second season because of its international success. It won the ``Best Series'' at the Rose d'Or TV awards, Europe's equivalent of the Emmys. Unable to reach a deal with Amazon, the producers officially ended the series on June 20, 2012.","Pan Am (TV series) -- In May 2012, Sony Pictures Television had conversation with Amazon about picking up the series for a second season because of its international success. The thing win the ``Best Series'' at the Rose d'Or TV award, Europe equivalent of the Emmys. Unable for to reach a deal with Amazon, the producers officially end the series on June 20, 2012.",is there a second series of pan am,is it a second series of pan am
"Chicago (1927 film) -- The plot of the film is drawn from the play Chicago by Maurine Dallas Watkins which was in turn based on the true story of Beulah Annan, fictionalized as Roxie Hart (Phyllis Haver), and her spectacular murder of her boyfriend.","Chicago (1927 film) -- The plot of the film is drew from the play Chicago by Maurine Dallas Watkins was in turn base on the true story of Beulah Annan, fictionalize as Roxie Hart (Phyllis Haver), and for her spectacular murder of for her boyfriend.",is chicago the movie based on a true story,chicago the movie based on one true story
"Pete's Dragon (2016 film) -- In the years that follow, Grace and Jack marry and adopt Pete as their son. Not only has Elliot slowly faded from the town's memory, but Gavin has learned to be more scrupulous and has moved on from the experience. Pete and his family eventually go on vacation, and see that Elliot is finally reunited with his fellow dragons.","Pete Dragon (2016 films) -- In the years follows, Grace and Jack marries and adopt Pete as they son. Not only has done Elliot slowly faded from that town memory, but Gavin has done learned to be like more scrupulous and has done moved on from that experiences. Pete and he family eventually goes on vacation, and see that Elliot is finally reunited with he fellow dragons.",does pete's dragon have a happy ending,do pete dragon has a happy ending
"Alex Cross's Trial -- Alex Cross's Trial is the 15th novel in James Patterson's Alex Cross series. It follows Cross Country in the series, and comes before his novel I, Alex Cross. It is written by Patterson and Richard DiLallo, and its premise is that it is a book written by Alex Cross.","Alex Cross Trial -- Alex Cross Trial that 15th novel in James Patterson Alex Cross series. Em follow Cross Country in that series, and come before his novel I, Alex Cross. It is wrote by Patterson and Richard DiLallo, and its premise is that em is one book wrote by Alex Cross.",is alex cross trial part of the series,alex cross trial part of that series
"Hypochondriasis -- Patients with hypochondriasis often are not aware that depression and anxiety produce their own physical symptoms, and mistake these symptoms for manifestations of another mental or physical disorder or disease. For example, people with depression often experience changes in appetite and weight fluctuation, fatigue, decreased interest in sex and motivation in life overall. Intense anxiety is associated with rapid heartbeat, palpitations, sweating, muscle tension, stomach discomfort, dizziness, and numbness or tingling in certain parts of the body (hands, forehead, etc.).","Hypochondriasis -- Patients with hypochondriasis often ain't like aware that depression and anxiety produce their own physical symptoms, and mistake these symptoms for manifestations of another mental or physical disorder or disease. For example, persons with depression often experience changes in appetite and weight fluctuation, fatigue, decreased interest in sex and motivation in life overall. Intense anxiety is associated with rapid heartbeat, palpitations, sweating, muscle tension, stomach discomfort, dizziness, and numbness or tingling in certain parts of that body (hands, forehead, etc.).",can you be a hypochondriac about mental illness,can y'all be a hypochondriac about mental illness
"Treatment of human head lice -- A standard home blow dryer will kill 96.7% of eggs with proper technique. To be effective, the blow dryer must be used repeatedly (every 1 to 7 days since eggs hatch in 7 to 10 days) until the natural life cycle of the lice is over (about 4 weeks).","Treatments of human head lice -- A standard home blow dryer might will kill 96.7% of eggs with proper techniques. For to be effective, the blow dryer might must be used repeatedly (every 1 for to 7 days since eggs hatch in 7 for to 10 days) until the natural life cycle of the lice is over (about 4 weeks).",can you kill lice with a hair dryer,can it is lice with a hair dryer that you kill
"Sherlock (TV series) -- In January 2014, Moffat stated that a fifth series had been plotted by himself and Gatiss; however, by the release of the fourth series in January 2017, they had not yet decided whether to produce it. Cumberbatch and Moffat in particular have expressed interest in continuing at some point in the future, but there are no immediate plans.","Sherlock (TV series) -- In January 2014, Moffat stated that a fifth series had done been plotted by hisself and Gatiss; however, by no release of the fourth series in January 2017, had done not yet decided whether to produce the thing. Cumberbatch and Moffat in particular have done expressed interest in continuing at some point in the future, which there is no immediate plan.",is there a new series of sherlock holmes,is there one new series of sherlock holmes
"Grand Slam (tennis) -- In terms of the current four majors, the first to win all four in a single year was Don Budge, who completed the feat in 1938. To date, 17 players have completed a Grand Slam, though only six in the most prestigious singles titles. Of these players, three have won multiple majors: Rod Laver accomplished the feat twice in men's singles; Margaret Court accomplished the feat three times, in two different disciplines -- once in women's singles and twice in mixed doubles; and Esther Vergeer completed a grand slam twice in Women's wheelchair doubles.","Grand Slam (tennis) -- In terms of the current four major, the first for to win all four in a single year was Don Budge, which complete the feat in 1938. To date, 17 player completed a Grand Slam, though only six in the prestigiousest singles titles. Of these players, three won multiple majors: Rod Laver accomplish the feat twice in mans singles; Margaret Court accomplish the feat three time, in two different discipline -- once in womans singles and twice in mixed doubles; and Esther Vergeer complete a grand slam twice in Women wheelchair double.",has anyone won all 4 tennis majors in one year,anyone won all 4 tennis major in one year
"Croatia at the FIFA World Cup -- Croatia national football team have appeared in the FIFA World Cup on five occasions (in 1998, 2002, 2006, 2014 and 2018) since gaining independence in 1991. Before that, from 1930 to 1990 Croatia was part of Yugoslavia. For World Cup records and appearances in that period, see Yugoslavia national football team and Serbia at the FIFA World Cup. Their best result thus far was silver position at the 2018 final, where they lost 4-2 to France.","Croatia at the FIFA World Cup -- Croatia national footballs team done appear in the FIFA World Cup on five occasion (in 1998, 2002, 2006, 2014 and 2018) since gaining independences in 1991. Before that, from 1930 to 1990 Croatia was part of Yugoslavia. For World Cup records and appearances in that there period, see Yugoslavia national footballs team and Serbia at the FIFA World Cup. Their most best result thus far was silver position at the 2018 final, where lose 4-2 to France.",has croatia ever made it to world cup final,have croatiumed ever make the thing to world cup final
"Croatia at the FIFA World Cup -- Croatia national football team have appeared in the FIFA World Cup on five occasions (in 1998, 2002, 2006, 2014 and 2018) since gaining independence in 1991. Before that, from 1930 to 1990 Croatia was part of Yugoslavia. Their best result thus far was silver position at the 2018 final, where they lost 4-2 to France.","Croatia at those FIFA World Cup -- Croatia national footballs team done appeared in those FIFA World Cup on five occasions (in 1998, 2002, 2006, 2014 and 2018) since gaining independences in 1991. Before that, from 1930 to 1990 Croatia been was part of Yugoslavia. Their most good result thus far was silver position at that 2018 final, where it lose 4-2 to France.",were croatia ever in a world cup final,was croatiumed ever in a world cup final
"Neil deGrasse Tyson -- In 2012, Tyson announced that he would appear in a YouTube series based on his radio show StarTalk. A premiere date for the show has not been announced, but it will be distributed on the Nerdist YouTube Channel. On February 28, 2014, Tyson was a celebrity guest at the White House Student Film Festival. In 2014, he helped revive Carl Sagan's Cosmos: A Personal Voyage television series, presenting Cosmos: A Spacetime Odyssey on both FOX and the National Geographic Channel. Thirteen episodes were aired in the first season, and Tyson has stated that if a second season were produced, he would pass the role of host to someone else in the science world. On April 20, 2015, he began hosting a late-night talk show entitled StarTalk on the National Geographic Channel, where Tyson interviews pop culture celebrities and asks them about their life experiences with science.","Neil deGrasse Tyson -- In 2012, Tyson announced that would appear in a YouTube series based on his radio show StarTalk. A premiere date for the show have ain't announced, but would be distributed on the Nerdist YouTube Channel. On February 28, 2014, Tyson was a celebritys guest at the White House Student Film Festival. In 2014, helped revive Carl Sagan Cosmos: A Personal Voyage television series, presenting Cosmos: A Spacetime Odyssey on both FOX and the National Geographic Channel. Thirteen episodes was aired in the first season, and Tyson have stated that if a second season was produced, be done pass the role of host to someone else in the science world. On April 20, 2015, begun hosting a late-nights talks show entitled StarTalk on the National Geographic Channel, where Tyson pop culture celebrities and ask them about they life experiences with science.",does neil degrasse tyson have a tv show,"neil degrasse tyson has a tv show, isn't it"
"Family Feud -- From 1999 to 2002, two new families appeared on each episode. The returning champions rule was reinstated with the same five-day limit starting with the 2002--03 season. Starting with the 2009--10 season, a family that wins five matches also wins a new car.","Family Feud -- From 1999 to 2002, two new families appear on each episode. That returning champions rule was reinstated with that same five-day limit starting with that 2002--03 season. Starting with that 2009--10 season, a family win five matches also win a new car.",does each person win a car on family feud,do it is a car on family feud that each person win
"Rice production in the United States -- Rice production is important to the economy of the United States. Of the country's row crop farms, rice farms are the most capital-intensive, and have the highest national land rental rate average. In the US, all rice acreage requires irrigation. In 2000-09 approximately 3.1 million acres in the US were under rice production, while an increase is expected in the next decade to approximately 3.3 million acres. US Rice represents rice producers in the six largest rice-producing states of Arkansas, California, Louisiana, Mississippi, Missouri, and Texas.","Rice production in those United States -- Rice production important to that economy of those United States. Of that country row crop farm, rice farm the capital-intensivest, and have that most high national land rental rate average. In those US, all rice acreage require irrigation. In 2000-09 approximately 3.1 million acre in those US been were under rice production, while an increase is expected in that next decade to approximately 3.3 million acre. US Rice represent rice producer in the six most large rice-producing state of Arkansas, California, Louisiana, Mississippi, Missouri, and Texas.",is there rice grown in the united states,is it rice grew in those united states
"Figgy pudding -- Figgy pudding is a type of Christmas pudding which was originally made with figs. It may be baked, steamed in the oven, boiled or fried.","Figgy pudding -- Figgy pudding one type of Christmas pudding what was originally made it with figs. The thing might may be baked, steam in those oven, boil or fry.",is there such a thing as figgy pudding,is there such a thing as figgy puddings
"Johnny Mize -- Mize retired in 1953 with 359 career home runs and a .312 batting average. He served as a radio commentator, scout and coach in the major leagues after he retired as a player. He was selected for induction to the Baseball Hall of Fame by the Veterans Committee in 1981. In 2014, he was inducted into the St. Louis Cardinals Hall of Fame Museum.","Johnny Mize -- Mize did retire in 1953 with 359 career home run and a .312 batting average. He did serve as a radio commentator, scout and coach in the major leagues after he retired as a player. He was selected for induction to the Baseball Hall of Fame by the Veterans Committee in 1981. In 2014, he was inducted into the St. Louis Cardinals Hall of Fame Museum.",is johnny mize in the hall of fame,johnny mize in the hall of fames
"United States Virgin Islands -- The United States Virgin Islands (USVI; also called the American Virgin Islands), officially the Virgin Islands of the United States, is a group of islands in the Caribbean that is an insular area of the United States located 40 miles (64 km) east of Puerto Rico. The islands are geographically part of the Virgin Islands archipelago and are located in the Leeward Islands of the Lesser Antilles. It is the easternmost point (in terms of jurisdiction) and territory of the United States.","United States Virgin Islands -- Those United States Virgin Islands (USVI; also called those American Virgin Islands), officially those Virgin Islands of those United States, a group of island in those Caribbean where an insular area of those United States done located 40 mile (64 km) east of Puerto Rico. The island geographically part of those Virgin Islands archipelago and are located in the Leeward Islands of those Lesser Antilles. The thing that easternmost point (in term of jurisdiction) and territory of those United States.",is the us virgin islands part of the usa,those us virgin islands part of that usa
"Indian Himalayan Region -- The northernmost range of mountains are the Karakoram Mountains that continue into Pakistan and China. To the south of the Karakoram Range lies the Zaskar Ranges. Parallel to the Zaskar Ranges lie the Pir Panjal Ranges. These three mountain ranges lie parallel to each other in the north-western part of India, most of its area lying in the state of Jammu and Kashmir as its capital Srinagar, too.","Indian Himalayan Region -- That northernmost range of mountain the Karakoram Mountains continues into Pakistan and China. To that south of those Karakoram Range lie the Zaskar Ranges. Parallel to the Zaskar Ranges lies the Pir Panjal Ranges. These here three mountain range lies parallel to each other in that north-western part of India, most of its area lying in that state of Jammu and Kashmir as its capital Srinagar, too.",pir panjal is a part of trans himalaya,pir panjal one part of trans himalaya
Rubbing alcohol -- They are liquids used primarily as a topical antiseptic. They also have many industrial and household uses. The term ``rubbing alcohol'' has become a general non-specific term for either isopropyl alcohol (isopropanol) or ethyl alcohol (ethanol) rubbing-alcohol products.,Rubbing alcohols -- It liquid used primarily as a topical antiseptics. It also have many industrial and household use. The term ``rubbing alcohols'' done became a general non-specific term for either isopropyl alcohols (isopropanol) or ethyl alcohol (ethanol) rubbing-alcohols product.,is ethyl alcohol the same as rubbing alcohol,ethyl alcohol the same as rubbing alcohol
"Blue Ridge Mountains -- The Blue Ridge Mountains are a physiographic province of the larger Appalachian Mountains range. This province consists of northern and southern physiographic regions, which divide near the Roanoke River gap. The mountain range is located in the eastern United States, starting at its southernmost portion in Georgia, then ending northward in Pennsylvania. To the west of the Blue Ridge, between it and the bulk of the Appalachians, lies the Great Appalachian Valley, bordered on the west by the Ridge and Valley province of the Appalachian range.","Blue Ridge Mountains -- The Blue Ridge Mountains a physiographic province of the more larger Appalachian Mountains range. This here province consist of northern and southern physiographic region, that what divides near the Roanoke River gap. The mountain range is located in the eastern United States, starting at its southernmost portion in Georgia, then ending northward in Pennsylvania. To the wests of the Blue Ridge, between her and the bulks of the Appalachians, lie the Great Appalachian Valley, border on the wests by the Ridge and Valley province of the Appalachian range.",is the blue ridge mountains part of the appalachians,is the blue ridge mountains part of the appalachians
"Universal background check -- Currently, federal law requires background checks (through the National Instant Criminal Background Check System) only for guns sold through licensed firearm dealers, which account for 78% of all gun sales in the United States. This figure was published in a 2017 study by the Annals of Internal Medicine which compared data from 1994, indicating 40% of recent gun acquisitions were completed without a background check, to a 2015 survey which found that 22% of recent gun transfers (purchased and nonpurchased) were completed without a background check. The current federal law allows people not ``engaged in the business'' of selling firearms to sell firearms without a license or records. The Coalition to Stop Gun Violence (CSGV) states that the National Instant Criminal Background Check System has prevented over two million felons and other prohibited persons from purchasing firearms. According to the CSGV, the law also has a prohibitive effect, that deters illegal purchases.","Universal backgrounds checks -- Currently, federal laws require backgrounds checks (through the National Instant Criminal Background Check System) only for guns sell through licensed firearm dealers, account for 78% of all gun sales in the United States. This figure was published in a 2017 study by the Annals of Internal Medicine compared datums from 1994, indicating 40% of recent gun acquisitions was completed without a backgrounds checks, to a 2015 survey finded that 22% of recent gun transfers (purchase and nonpurchase) was completed without a backgrounds checks. The current federal laws allow persons not ``engage in the busineses'' of selling firearms to sell firearms without a license or records. The Coalition to Stop Gun Violence (CSGV) states say the National Instant Criminal Background Check System done prevent over two million felons and other prohibit persons from purchasing firearms. According to the CSGV, the laws also have a prohibitive effect, that deters illegal purchases.",are there background checks for guns in america,is it backgrounds check for gun in america
"County Clare -- County Clare (Irish: Contae an Chláir) is a county in Ireland, in the Mid-West Region and the province of Munster, bordered on the West by the Atlantic Ocean. There is debate if it should be historically considered a part of Connacht. Clare County Council is the local authority. The county had a population of 117,196 at the 2011 census. The county town and largest settlement is Ennis.","County Clare -- County Clare (Irish: Contae an Chláir) a county in Ireland, in the Mid-West Region and the province of Munster, bordered on the West by the Atlantic Ocean. There is debate if it should be historically considered a part of Connacht. Clare County Council the local authority. The county had a population of 117,196 at the 2011 census. The county town and most large settlement Ennis.",is co clare in the republic of ireland,co clare in those republic of ireland
Shades of blue -- Navy blue is a shade of the standard (h = 240°) blue. Navy blue got its name from the dark blue (contrasted with white) worn by officers in the British Royal Navy since 1748 (originally called marine blue before 1840) and subsequently adopted by other navies around the world.,Shade of blue -- Navy blue a shade of that standard (h = 240°) blue. Navy blue getted its name from that dark blue (contrasted with white) wore by officers in those British Royal Navy since 1748 (originally called marine blue before 1840) and subsequently adopted by other navies around that world.,is royal blue the same as navy blue,royal blue the same as navy blue
"Flounder -- In its life cycle, an adult flounder has two eyes on one side of its head, and at hatching one eye is on each side of its head. One eye migrates to the other side of the body through a metamorphosis as it grows from larval to juvenile stage. As an adult, a flounder changes its habits and camouflages itself by lying on the bottom of the ocean floor as protection against predators. As a result, the eyes are then on the side which faces up. The side to which the eyes migrate is dependent on the species type.","Flounder -- In its life cycle, an adult flounder have two eye on one side of its head, and at hatching one eye on each side of its head. One eye migrate to that other side of that body through a metamorphosis as it grow from larval to juvenile stage. As an adult, a flounder change its habits and camouflage itself by lying on that bottom of that ocean floor as protection against predators. As a result, the eyes then on that side what face up. That side to which the eyes migrates dependent on that species types.",are flounders born with eyes on both sides,flounders bore with eyes on both sides
"The American President -- An extensive White House set, of both the East and West Wings, was built on the Castle Rock Entertainment lot in Culver City. The set's Oval Office was later reused for the films Nixon and Independence Day.","Those American President -- An extensive White House set, of both those East and West Wings, was built on that Castle Rock Entertainment lot in Culver City. That set's Oval Office was later reused for the films Nixon and Independence Day.",was the american president filmed in the white house,was those american president film in those white house
"Cell (biology) -- The cell (from Latin cella, meaning ``small room'') is the basic structural, functional, and biological unit of all known living organisms. A cell is the smallest unit of life that can replicate independently, and cells are often called the ``building blocks of life''. The study of cells is called cell biology.","Cell (biologys) -- The cell (from Latin cella, meaning ``small rooms'') the basic structural, functional, and biological unit of all knew living organismses. A cell the most smallest unit of life might can replicate independently, and cells are often called the ``building blocks of life''. The study of cells are called cell biologys.",cells are the basic unit of life and in all organisms,cells the basic unit of life and in all organismses
