Premise Reference,Premise Hypothesis,Choice1 Reference,Choice1 Hypothesis,Choice2 Reference,Choice2 Hypothesis,Premise BLEU_score,Choice1 BLEU_score,Choice2 BLEU_score,Premise BLEU_score_under_10,Premise BLEU_score_under_20,Premise BLEU_score_under_30,Premise BLEU_score_under_50,Premise BLEU_score_under_70,Choice1 BLEU_score_under_10,Choice1 BLEU_score_under_20,Choice1 BLEU_score_under_30,Choice1 BLEU_score_under_50,Choice1 BLEU_score_under_70,Choice2 BLEU_score_under_10,Choice2 BLEU_score_under_20,Choice2 BLEU_score_under_30,Choice2 BLEU_score_under_50,Choice2 BLEU_score_under_70
the girl applied the scissors to the paper.,the girl put them scissors on that paper.,the paper sliced apart.,da paper got sliced up.,the paper crinkled.,da paper crinkled.,14.25876976452075,10.682175159905853,59.460355750136046,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1
the woman visited her family.,de woman went to see her family.,she distrusted them.,she ain't trust them.,she missed them.,she missed 'em.,22.089591134157878,23.643540225079384,35.35533905932737,0,0,1,1,1,0,0,1,1,1,0,0,0,1,1
i burst into a fit of laughter.,i busted out laughin'.,my teeth began to chatter.,my teeth started to chatter.,my eyes welled up with tears.,tears started wellin' up in my eyes.,6.9717291216921975,37.99178428257963,13.888095170058955,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1
the school principal implemented a dress code.,the school principal put in a dress code.,students protested the decision.,students protested the decision.,students were expelled from school.,students got kicked outta school.,43.167001068522545,100.00000000000004,17.965205598154213,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
the balloon expanded.,the balloon got bigger.,i blew into it.,i blew in it.,i pricked it.,i poked it.,23.643540225079384,30.213753973567677,35.35533905932737,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1
i wanted to lighten the mood of the conversation.,i wanted to make the convo more chill.,i remained quiet.,i stayed quiet.,i told a joke.,i told a joke.,18.04438612975343,35.35533905932737,100.00000000000004,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0
the man broke his toe.,da man broke his toe.,he got a hole in his sock.,he got a hole in his sock.,he dropped a hammer on his foot.,he dropped a hammer on his foot.,75.98356856515926,100.00000000000004,100.00000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the man had an attack of conscience.,the man felt bad 'bout what he did.,he manipulated his friend.,he played his friend.,he admitted his indiscretion.,he 'mitted he messed up.,10.552670315936318,42.72870063962342,9.652434877402245,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1
a fistfight broke out in the hall of the school.,folks was throwin' hands in the school hallway.,the principal suspended the students involved.,the principal suspended them students involved.,the principal called off classes for the day.,da principal called off classes fo' da day.,10.798033448421632,41.11336169005196,35.49481056010054,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1
the photo albums collected dust in the attic.,dem photo albums was collectin' dust up in the attic.,they remained untouched for years.,they stayed untouched for years.,the family reminisced over the photos.,the family was reminiscing over them photos.,28.997844147152072,53.7284965911771,16.515821590069027,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1
i got distracted from my conversation with the woman.,i got distracted from my convo with that lady.,everyone in the room was talking.,errybody in the room was talkin'.,the woman was telling a funny story.,da woman was tellin' a funny story.,42.7287006396234,43.47208719449914,41.11336169005198,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1
i put coins in the washing machine at the laundromat.,i put coins in the washing machine at the laundromat.,the machine powered on.,the machine turned on.,i ran out of laundry detergent.,i ran outta laundry soap.,100.00000000000004,30.213753973567677,16.341219448835542,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1
the family postponed the barbeque.,da fam pushed back da barbeque.,the forecast called for storms.,they sayin' it's gon' storm.,it was a holiday weekend.,it was a holiday weekend.,13.134549472120788,8.116697886877475,100.00000000000004,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
air leaked out of the beach ball.,air leaked outta the beach ball.,it was inflated.,it was blowed up.,there was a hole in it.,it had a hole in it.,42.38365628278778,23.643540225079384,61.47881529512643,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1
our group's conversation gradually lulled to silence.,our group's conversation slowly died down to quiet.,i felt awkward.,i felt awkward. in aave can be translated as: i felt some type of way.,i became enraged.,i got mad.,20.164945583740657,13.445273575332964,18.99589214128981,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1
i clenched the candy wrapper in my fist.,i gripped the candy wrapper in my hand.,the wrapper crinkled.,da wrapper crinkled.,the wrapper ripped.,da wrapper tore.,48.54917717073236,59.460355750136046,18.99589214128981,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1
the woman pressed down on the piano key.,the woman pressed down on the piano key.,a sound played.,a sound went off.,the key got stuck.,the key got stuck.,100.00000000000004,23.643540225079384,100.00000000000004,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
the girl met her favorite actor.,the girl met her favorite actor.,she went to see his new film.,she went to see his new movie.,she asked him for his autograph.,she axed him for his autograph.,100.00000000000004,70.71067811865478,64.34588841607616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
the vehicles travelled slowly.,dem cars was movin' slow.,it was cloudy.,it was cloudy.,it was foggy.,it was foggy.,8.116697886877475,100.00000000000004,100.00000000000004,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
the chandelier shattered on the floor.,da chandelier done shattered on da floor.,the chandelier dropped from the ceiling.,da chandelier fell off da ceiling.,the chandelier's lights flickered on and off.,the chandelier's lights was flickerin' on and off.,16.515821590069027,14.535768424205482,43.167001068522545,0,1,1,1,1,0,1,1,1,1,0,0,0,1,1
the cat purred.,da cat was purrin'.,it scratched me.,it scratched me.,i petted it.,i pet it.,12.703318703865365,100.00000000000004,35.35533905932737,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1
the boy pushed his sister.,the boy pushed his sister.,his sister tattled on him.,his sister snitched on him.,they played hide and seek.,they played hide and seek.,100.00000000000004,37.99178428257963,100.00000000000004,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
the man gained weight.,the man put on some pounds.,he got his suit altered.,he got his suit fixed up.,he got his shoes shined.,he got his shoes shined.,14.535768424205482,43.47208719449914,100.00000000000004,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0
the clouds looked dark.,dem clouds lookin' dark.,i brought my laptop to work.,i brought my laptop to work.,i brought my umbrella to work.,i brought my umbrella to work.,23.643540225079384,100.00000000000004,100.00000000000004,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
the engine of the airplane was faulty.,da engine on dat airplane was messed up.,the airplane crashed.,the airplane done crashed.,the pilot made an error.,the pilot messed up.,11.339582221952005,30.213753973567677,19.3576934939088,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1
cars moved to the shoulder of the road.,cars pulled over to the side of the road.,the traffic light turned green.,the traffic light turned green.,a screaming ambulance approached.,a hollerin' ambulance was rollin' up.,32.46679154750989,100.00000000000004,8.643019616048525,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1
the boy lost hold of the bar of soap.,the boy lost grip on the soap bar.,the bar was slippery.,dat bar was slippery.,the bar emitted a fragrance.,da bar was smellin' good.,19.62791284379258,66.87403049764218,9.652434877402245,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1
the button on my shirt fell off.,the button on my shirt done fell off.,i sewed the button back on.,i sewed the button back on.,i glued the button back on.,i glued the button back on.,59.694917920196445,100.00000000000004,100.00000000000004,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
the celebrity wore sunglasses.,the celebrity had on some shades.,she wanted to thank her fans.,she wanted to thank her fans.,she wanted to avoid recognition.,she ain't wanna be recognized.,14.535768424205482,100.00000000000004,9.652434877402245,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1
my grandmother passed away.,my grandma done passed away.,my family held a funeral.,my family had a funeral.,my family held a reunion.,my fam had a reunion.,32.46679154750991,37.99178428257963,32.46679154750991,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1
the police officer pulled over the celebrity.,the police officer pulled over the celebrity.,the celebrity offered the officer a bribe.,the celebrity offered the cop a bribe.,the celebrity sued the police officer.,the celebrity sued the cop.,100.00000000000004,50.000000000000014,45.48019047027906,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
the man revealed personal information to the therapist.,the man told his personal business to the therapist.,he trusted the therapist.,he trusted the therapist.,he disagreed with the therapist.,he ain't agree with the therapist.,32.46679154750989,100.00000000000004,43.47208719449914,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
the man fell unconscious.,the man passed out.,the assailant struck the man in the head.,de assailant hit dat man in da head.,the assailant took the man's wallet.,da assailant took da man's wallet.,23.643540225079384,14.25876976452075,30.739407647563215,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1
i approached the man.,i went up to the man.,he looked busy.,he looked like he was doin' somethin'.,he looked familiar.,he look like i seen him before.,26.269098944241588,12.22307556087252,6.567274736060395,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1
the leader received praise.,the leader got props.,he fought poverty.,he battled poverty.,he raised taxes.,he raised taxes.,23.643540225079384,35.35533905932737,100.00000000000004,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0
the man read the cartoon in the newspaper.,the man read the cartoon in the newspaper.,he sipped coffee.,he sipped on some coffee.,he chuckled.,he laughed.,100.00000000000004,22.957488466614336,34.66806371753173,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1
my mailbox was overflowing with letters.,my mailbox was full up wit' letters.,the lid on the mailbox broke.,the lid on the mailbox busted.,i went on vacation for two weeks.,i went on vacation for two weeks.,25.848657697858535,64.34588841607616,100.00000000000004,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
the bananas ripened.,dem bananas got ripe.,we squeezed them.,we squeezed 'em.,we ate them.,we ate 'em.,12.703318703865365,35.35533905932737,35.35533905932737,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1
the chef pressed down on the dough.,the chef pressed down on the dough.,the dough crumbled.,de dough crumbled.,the dough flattened.,da dough flattened.,100.00000000000004,59.460355750136046,59.460355750136046,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
the clay hardened.,da clay got hard.,the potter rolled the clay into a ball.,de potter rolled dat clay into a ball.,the potter put the clay in the oven.,the potter put the clay in the oven.,12.703318703865365,51.33450480401705,100.00000000000004,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0
my feet were blistered.,my feet was blistered.,i went hiking.,i went hiking.,i went swimming.,i went swimmin'.,30.213753973567677,100.00000000000004,35.35533905932737,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
the woman betrayed her friend.,da woman crossed her friend.,her friend sent her a greeting card.,her friend sent her a greeting card.,her friend cut off contact with her.,her friend cut her off.,32.46679154750991,100.00000000000004,25.745264623946035,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1
the man took notice of the woman.,the man peeped the woman.,he caught a whiff of her perfume.,he caught a whiff of her perfume.,he had his back turned to her.,he had his back turned to her.,27.22230298303347,100.00000000000004,100.00000000000004,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
the woman and her boyfriend got into a fight.,da woman and her boyfriend got into it.,they stopped seeing each other.,they stopped messin' with each other.,they planned a vacation together.,they planned a vacation together.,54.627576446464936,30.739407647563215,100.00000000000004,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
the bully stuck his foot out in front of his classmate.,the bully stuck his foot out in front of his classmate.,the bully picked up his classmate.,the bully picked up his classmate.,the bully's classmate tripped.,da bully's classmate tripped.,100.00000000000004,100.00000000000004,66.87403049764218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
the man wanted to get revenge on his enemy.,da man wanted to get back at his enemy.,the man framed his enemy for a crime.,the man set his enemy up for a crime.,the man declared a truce with his enemy.,the man called a truce with his enemy.,37.99178428257963,35.494810560100525,66.06328636027612,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1
i drank a cup of coffee.,i drank a cup of coffee.,my yawning ceased.,i stopped yawning.,i nodded off to sleep.,i fell asleep.,100.00000000000004,18.99589214128981,11.521590992286539,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1
the woman was mistaken for her sister.,they thought the woman was her sister.,the woman was close with her sister.,the woman was tight with her sister.,the woman looked like her sister.,the woman looked like her sister.,34.57207846419412,50.000000000000014,100.00000000000004,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
the man made an error in his calculations.,the man messed up his calculations.,he checked his work.,he checked his work.,his work was hasty.,his work was rushed.,23.099966849728546,100.00000000000004,42.72870063962342,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1
the woman's eyeglasses fogged up.,dat woman's glasses fogged up.,she reclined by the pool.,she was layin' back by the pool.,she entered the sauna.,she went into the sauna.,32.46679154750991,36.55552228545123,32.46679154750991,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1
the shopper wondered about the cost of the item.,the shopper was wonderin' bout how much that item cost.,he checked its price tag.,he checked its price tag.,he decided to buy it.,he decided to cop it.,9.425159511373677,100.00000000000004,37.99178428257963,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1
the host of the trivia show called on the contestant for an answer.,the host of the trivia show called on the contestant for an answer.,the contestant was in the lead.,the contestant was in the lead.,the contestant rang the buzzer.,the contestant hit the buzzer.,100.00000000000004,100.00000000000004,37.99178428257963,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
the boy was afraid to go to bed.,dat boy was scared to go to bed.,he turned on his nightlight.,he turned on his nightlight.,he watched a horror movie.,he watched a scary movie.,51.33450480401705,100.00000000000004,37.99178428257963,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
the woman wanted to be a doctor.,the woman wanted to be a doctor.,she visited the hospital.,she went to the hospital.,she went to medical school.,she went to med school.,100.00000000000004,32.46679154750991,37.99178428257963,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
the boy found the television show boring.,dat boy thought the tv show was boring.,he recorded it.,he recorded it.,he shut it off.,he turned it off.,11.99014838091355,100.00000000000004,42.72870063962342,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1
my daughter suffered an allergy attack.,my daughter had an allergy attack.,i encouraged her to take deep breaths.,i told her to take deep breaths.,i took her to the emergency room.,i took her to the emergency room.,48.892302243490086,70.71067811865478,100.00000000000004,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
the boy had trouble buttoning his shirt.,the boy had trouble buttoning his shirt.,he refused to wear the shirt.,he ain't wanna wear the shirt.,he asked his mother for help.,he axed his mama for help.,100.00000000000004,43.47208719449914,27.77619034011791,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1
i spit out my chewing gum.,i spit out my gum.,i blew a bubble with the gum.,i blew a bubble wit the gum.,the gum lost its flavor.,da gum ain't got no flavor no mo'.,51.15078115793242,50.000000000000014,6.27465531099474,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1
the boy painted a picture for his mother.,the boy painted a picture for his mama.,his mother hung the picture on the wall.,his mama hung the picture on the wall.,his mother sold the picture to a gallery.,his mama sold the picture to a gallery.,75.06238537503395,75.06238537503395,75.06238537503395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the competition ended.,the competition over.,the teams got pumped up.,the teams got hype.,the teams shook hands.,the teams dapped up.,35.35533905932737,34.98330125272253,23.643540225079384,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1
the girl politely declined the hamburger.,the girl kindly said no to the hamburger.,she was a vegetarian.,she was a vegetarian.,she liked fast food.,she liked fast food.,22.31618068926665,100.00000000000004,100.00000000000004,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
i scrubbed the stain on the floor.,i scrubbed dat stain on da floor.,i got rid of the stain.,i got that stain out.,i got dirt on the floor.,i got dirt on the floor.,19.130147081392227,16.341219448835542,100.00000000000004,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0
the documents contained important information.,dem documents had important info.,i paper clipped them together.,i clipped them together with a paper clip.,i kept them in a secure place.,i kept 'em in a secure spot.,10.682175159905853,21.10534063187263,27.054113452696992,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1
the egg splattered.,the egg splattered.,i dropped it.,i dropped it.,i boiled it.,i boiled it. in aave can be translated as i boiled it.,100.00000000000004,100.00000000000004,17.77835117834348,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
the girl pushed her friend.,the girl pushed her friend.,her friend choked.,her friend choked.,her friend fell over.,her friend fell over.,100.00000000000004,100.00000000000004,100.00000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a group of teenagers crashed the party.,some teenagers ran up on the party.,the host of the party kicked them out.,the host of the party kicked 'em out.,the host of the party invited them in.,the host of the party let 'em in.,22.089591134157878,66.06328636027612,51.33450480401705,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1
the man took a shower.,the man took a shower.,he was sweaty from working out.,he was sweaty from working out.,he opened a new bar of soap.,he opened a new bar of soap.,100.00000000000004,100.00000000000004,100.00000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the screen on the laptop went black.,da screen on da laptop went black.,the laptop's warranty expired.,da laptop's warranty ran out.,the laptop's battery died.,the laptop's battery went out.,41.11336169005198,17.965205598154213,32.46679154750991,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1
the book became a huge bestseller.,dat book turned into a big bestseller.,it was adapted into a movie.,they turned it into a movie.,the author faded into obscurity.,the author faded out.,13.134549472120788,43.47208719449914,34.98330125272253,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1
the man felt thankful to be alive.,da man felt thankful to be alive.,he was cured of cancer.,he got cured of cancer.,his wife was diagnosed with cancer.,his wife got diagnosed with cancer.,84.08964152537145,53.7284965911771,48.892302243490086,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
the woman wrote a check to the gas company.,the woman wrote a check to the gas company.,she preferred paying by cash.,she preferred paying in cash.,she received her monthly bill.,she got her monthly bill.,100.00000000000004,37.99178428257963,53.7284965911771,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
the woman felt reluctant to switch careers.,the woman ain't really wanna switch careers.,she made a lot of money in her current occupation.,she makin' a lot of money in her current job.,she endured a lot of stress in her current occupation.,she been dealin' with a lot of stress in her current job.,25.848657697858535,60.767958081376904,50.08718428920986,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1
the woman filed a restraining order against the man.,the woman put out a restraining order against the man.,the man called her.,dat man called her.,the man stalked her.,dat man was stalkin' her.,63.15552371794039,66.87403049764218,17.965205598154213,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1
the ocean tide was dangerous.,de ocean tide was dangerous.,the swimmers put on more sunscreen.,the swimmers put on mo' sunscreen.,the swimmers returned towards the shore.,the swimmers came back towards the shore.,75.98356856515926,48.892302243490086,41.11336169005198,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
the woman refused a second beer.,the woman ain't want no second beer.,she was the designated driver for the night.,she was the designated driver for the night.,she was familiar with the bartender.,she knew the bartender.,25.848657697858535,100.00000000000004,28.641904579795423,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1
i ran out of breath.,i got winded.,i climbed several flights of stairs.,i climbed a buncha stairs.,i read several chapters of the book.,i read a few chapters of the book.,11.521590992286539,19.43309443637608,51.33450480401705,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1
the woman was deemed mentally ill.,dey said dat woman was mentally ill.,she was sent to a psychiatric institution.,she got sent to a psychiatric institution.,she sought a career as a psychiatrist.,she wanted to be a psychiatrist.,25.848657697858535,70.71067811865478,22.772101321113862,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1
the sun emerged from the clouds.,the sun came out from behind the clouds.,the woman glanced at her watch.,the woman peeped at her watch.,the woman took her sweater off.,the woman took her sweater off.,23.356898886410015,48.892302243490086,100.00000000000004,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0
the football coach lost his voice after the game.,the football coach lost his voice after the game.,he yelled whenever a player fumbled the ball.,he hollered whenever a player dropped the ball.,he whistled whenever a player scored a touchdown.,he whistled whenever a player scored a touchdown.,100.00000000000004,31.02016197007,100.00000000000004,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
the woman complimented the man.,the woman gave the man props.,he sneezed.,he sneezed.,he blushed.,he turned red.,19.64073254502566,100.00000000000004,18.99589214128981,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1
i applied pressure to the cut on my arm.,i pressed down on the cut on my arm.,it healed.,it healed up.,it stopped bleeding.,it stopped bleedin'.,53.7284965911771,35.35533905932737,35.35533905932737,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1
the woman had an infection.,the woman had a infection.,she took antibiotics.,she took some antibiotics.,she washed her hands.,she washed her hands.,37.99178428257963,30.213753973567677,100.00000000000004,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
the woman was summoned for jury duty.,the woman got called up for jury duty.,she contacted her lawyer.,she hit up her lawyer.,she cancelled her appointments.,she cancelled her appointments.,35.49481056010054,32.46679154750991,100.00000000000004,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
the woman fanned herself with her hand.,the woman fanned herself with her hand.,she installed the air conditioner in the room.,she put the air conditioner in the room.,the air conditioner in the room broke.,da air conditioner in da room broke.,100.00000000000004,75.06238537503395,34.57207846419412,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
the doctors amputated the patient's leg.,de doctors cut off da patient's leg.,it was badly bruised.,it was beat up bad.,it was severely infected.,it was hella infected.,22.089591134157878,17.965205598154213,30.213753973567677,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1
the girl stared at herself in the mirror.,the girl looked at herself in the mirror.,she felt self-conscious.,she felt some type of way.,the mirror was smudged.,da mirror was smudged.,66.06328636027612,14.535768424205482,66.87403049764218,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1
the man was bitten by mosquitoes.,mosquitoes bit the man.,he went camping in the woods.,he went campin' in the woods.,he fell asleep on his couch.,he fell asleep on his couch.,17.030578356760866,48.892302243490086,100.00000000000004,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0
the woman presented her brother with a gift.,the woman gave her brother a gift.,her brother refused to accept the gift.,her brother ain't wanna take the gift.,her brother unwrapped the gift.,her brother unwrapped the gift.,26.66354429712651,25.848657697858535,100.00000000000004,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0
the administrator cleared her throat.,the administrator cleared her throat.,the meeting was postponed.,dey pushed back da meetin'.,the meeting commenced.,the meeting got started.,100.00000000000004,8.116697886877475,23.643540225079384,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1
the children ran through the sprinkler.,them kids ran through the sprinkler.,they ate popsicles.,they ate popsicles.,they were hot.,dey was hot.,61.47881529512643,100.00000000000004,31.947155212313625,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
the man needed coins to fill the parking meter.,the man needed coins to fill the parking meter.,he searched under his car seats for loose change.,he looked under his car seats for some loose change.,he begged people on the street for loose change.,he begged folks on the street for loose change.,100.00000000000004,48.326978309062206,70.71067811865478,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
the customer thought the souvenir was overpriced.,the customer thought the souvenir cost too much.,the vender sold it to him.,the vendor sold it to him.,he bargained with the vendor.,he haggled with the seller.,46.713797772819994,64.34588841607616,19.304869754804482,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1
the scientist gained recognition.,da scientist got props.,she discovered a new species.,she found a new species.,she received tenure at the university.,she got tenure at the university.,12.703318703865365,53.7284965911771,64.34588841607616,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1
the car stopped at the crosswalk.,de car stopped at da crosswalk.,the pedestrian crossed the road.,the pedestrian crossed the road.,the pedestrian waited on the sidewalk.,the pedestrian waited on the sidewalk.,30.739407647563215,100.00000000000004,100.00000000000004,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
the boy giggled uncontrollably.,dat boy was crackin' up nonstop.,his brother tickled him.,his brother tickled him.,his brother kicked him.,his brother kicked him.,7.809849842300637,100.00000000000004,100.00000000000004,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
my knees buckled on the stairs.,my knees gave out on the stairs.,i caught myself on the railing.,i caught myself on the railing.,the railing came loose from the wall.,da railing came loose from da wall.,41.11336169005198,100.00000000000004,41.11336169005198,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
i went to bed.,i went to bed.,it was a clear night.,it was a clear night.,it was late.,it was late.,100.00000000000004,100.00000000000004,100.00000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
my friend was recovering from surgery.,my friend was getting over surgery.,i dropped her off at the hospital.,i dropped her off at the hospital.,i brought her a card and flowers.,i brought her a card and some flowers.,30.739407647563215,100.00000000000004,66.06328636027612,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
the dj turned the music on.,the dj turned the music on.,people left the party.,folks dipped out the party.,people began to dance.,folks started to dance.,100.00000000000004,30.213753973567677,39.76353643835252,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
the security guard replayed the surveillance footage.,da security guard ran back da surveillance footage.,the surveillance camera was out of focus.,the security camera was blurry.,he noticed some suspicious activity.,he peeped some sus activity.,22.31618068926665,13.83254362586636,19.304869754804482,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1
i lingered in bed upon awakening.,i stayed in bed a bit after i woke up.,i was hungry.,i was hungry.,it was saturday.,it was saturday.,8.913765521398126,100.00000000000004,100.00000000000004,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
the man lifted the heavy box.,the man picked up the heavy box.,he put out his back.,he threw out his back.,he scratched his back.,he scratched his back.,41.11336169005198,53.7284965911771,100.00000000000004,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
the woman's purse was missing.,the woman's purse was gone.,it contained a lot of junk.,it had a bunch of junk in it.,she left it unsupervised.,she left it by itself.,53.7284965911771,11.99014838091355,32.46679154750991,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1
the woman suffered amnesia.,da woman got amnesia.,she had an allergic reaction.,she had an allergic reaction.,she got into a car accident.,she got in a car accident.,23.643540225079384,100.00000000000004,48.892302243490086,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1
i needed to get cash.,i needed to get some money.,i went to the bank.,i went to the bank.,i bought a wallet.,i bought a wallet.,43.47208719449914,100.00000000000004,100.00000000000004,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
the rider fell to the ground.,the rider fell to the ground.,the bull bucked the rider.,the bull bucked the rider off.,the bull chased the rider.,de bull chased de rider.,100.00000000000004,64.34588841607616,22.957488466614336,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
the boy wanted to be muscular.,the boy wanted to be swole.,he lifted weights.,he was liftin' weights.,he played computer games.,he played computer games.,64.34588841607616,23.643540225079384,100.00000000000004,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0
the scientist conducted an experiment.,da scientist did an experiment.,she validated her theory.,she proved her theory right.,she fabricated her data.,she made up her data.,32.46679154750991,19.304869754804482,32.46679154750991,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1
the milk stayed cold.,da milk stayed cold.,it was pasteurized.,it was pasteurized.,i stored it in the refrigerator.,i put it in the fridge.,66.87403049764218,100.00000000000004,27.77619034011791,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
the fussy baby calmed down.,the fussy baby chilled out.,the parents shook a rattle in front of the baby.,the parents shook a rattle in front of the baby.,the parents picked out a name for the baby.,the parents chose a name for the baby.,32.46679154750991,100.00000000000004,59.11602603314155,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
i put ice cubes in the hot soup.,i put ice cubes in the hot soup.,the soup cooled down.,da soup done cooled down.,the soup became thick.,da soup got thick.,100.00000000000004,32.46679154750991,23.643540225079384,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1
